"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A06171078",276235,71634173,"SUC GUADALAJARA CHAPALITA","Operativo","Activo","[""UNC.CUAD60.904.1.2"",""UNC.CUAD60.907.1"",""UNC.CUAD60.901.1"",""UNC.CUAD60.911.1""]","[31642538,31643074,31643060,31643076]","[14,14,1,14]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06171053",276219,71634169,"TOLUCA CENTRO","Operativo","Activo","[""UNC.CUAD60.901.1"",""UNC.CUAD60.907.1"",""UNC.CUAD60.904.1.2"",""UNC.CUAD60.911.1""]","[31642031,31642382,31642045,31642384]","[1,9,9,9]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170505",263293,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","[""UNC.CUAD.911.1.1"",""UNC.CUAD.907.1"",""UNC.CUAD.904.1.4""]","[31163311,31163312,31163314]","[30,30,30]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03170504",263291,71427168,"LAMARTINE 346","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[31163062,31163211,31163213]","[20,20,20]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12160503",253468,71608811,"SUCURSAL REFORMA DIANA","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1""]","[30884061,30884075,30884126,30884060,30884128]","[1,6,6,2,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12160447",252917,71608802,"SUCURSAL ABC OBSERVATORIO","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1"",""UNC.CUAD.907.1""]","[30876831,30876832,30876846,30876899,30876897]","[2,1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07160076",235032,71581915,"AVANDARO","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1""]","[30364180,30364218,30364279,30364281,30364195]","[1,7,7,7,2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07160074",235016,71427168,"LAMARTINE 346","Planeación","Activo","[""UNC.CUAD.904.1.4""]","[30363924]","[5]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07160073",235016,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","[""UNC.CUAD.904.1.4""]","[30363901]","[2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06160283",233054,71427168,"LAMARTINE 346","Operativo","Activo","[""UNC.CUAD1.904.1"",""UNC.CUAD1.904.1"",""UNC.CUAD1.904.1""]","[30309340,30309342,30309340]","[1,8,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A06160284",233054,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","[""UNC.CUAD1.904.1""]","[30309326]","[1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12150529",218244,71368061,"LAS AMERICAS","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[29392344,29392384,29392386]","[6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12150530",218244,71489224,"BERNARDO QUINTANA QRO","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[29392399,29392434,29392436]","[5,5,5]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12150500",218063,71489224,"BERNARDO QUINTANA QRO","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.901.1""]","[29382835,29382774,29382819,29382821,29382762]","[2,7,7,7,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12150382",217297,71465587,"PLAZA ALTACIA LEON","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[29345100,29345112,29345157,29345159]","[1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10150294",211766,71465708,"PLAZA MIA METEPEC","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1""]","[28806860,28806933,28806919,28806872,28806917]","[1,2,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10150293",211766,71465707,"ARCOS CAMPESTRE AGS","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1"",""UNC.CUAD.907.1""]","[28806853,28806780,28806792,28806839,28806837]","[2,1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10150291",211766,71465647,"PLAZA NORTE QUERETARO","Planeación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.904.1.4""]","[28806700,28806757,28806759,28806773,28806712]","[1,7,7,2,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10150289",211766,71465646,"PLAZA CONSTITUYENTES QRO","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4""]","[28806620,28806677,28806693,28806679,28806632]","[1,7,2,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150371",210316,71465039,"TOLUCA","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1""]","[28758370,28758386,28758431,28758443,28758433]","[1,7,7,2,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150063",208657,71453602,"PLAZA OASIS","Operativo","Activo","[""UNC.CUAD.901.1""]","[28710443]","[1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150065",208657,71453604,"COLONIA DEL VALLE","Planeación","Activo","[""UNC.CUAD.901.1""]","[28710455]","[1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150061",208657,71340965,"MODULO AGRONEGOCIOS PUEBLA","Planeación","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[28710421,28710436,28710438]","[1,1,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150062",208657,70229800,"MIFEL_S011_VALLE_MONTERREY_RT01","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[28710372,28710407,28710409]","[5,5,5]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150060",208657,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Operativo","Activo","[""UNC.CUAD.911.1.1"",""UNC.CUAD.907.1"",""UNC.CUAD.904.1.4""]","[28710339,28710337,28710197]","[26,26,26]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150092",208650,71463033,"BELLAVISTA","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.907.1"",""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1""]","[28710086,28710088,28710090,28710102,28710087]","[2,7,1,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150090",208650,71463032,"LIBANO DF","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4""]","[28710006,28710007,28710064,28710066,28710019]","[2,1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150087",208650,71463031,"STADIUM LEON","Planeación","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1""]","[28709926,28709927,28709939,28709984,28709986]","[2,1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A11150312",208650,71463030,"PLAZA LEON","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1""]","[28709847,28709859,28709904,28709906,28709846]","[1,7,7,7,2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150086",208650,71463028,"ANTARES LEON","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1"",""UNC.CUAD.907.1"",""UNC.CUAD.901.1""]","[28709766,28709779,28709826,28709824,28709767]","[2,7,7,7,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150085",208650,71463027,"CITY CENTER METEPEC","Operativo","Activo","[""UNC.CUAD.907.1"",""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1""]","[28709744,28709687,28709699,28709746,28709686]","[7,1,7,7,2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150083",208650,71463026,"CENTRO QUERETARO","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1""]","[28709607,28709666,28709619,28709664,28709606]","[1,7,7,7,2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150082",208650,71463025,"JURIQUILLA QUERETARO","Operativo","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.901.1""]","[28709526,28709539,28709584,28709586,28709527]","[2,7,7,7,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09150081",208650,71463024,"CENTRAL PARK QUERETARO","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4""]","[28709446,28709503,28709505,28709458]","[1,7,7,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03150150",193058,71268939,"MIFEL SUCURSAL DEL VALLE","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1""]","[27985211,27985291,27985293,27985314]","[14,14,14,2]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A09140043",177480,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","[""UNC.CUAD.916.1.1""]","[27210532]","[37]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140138",175806,71438569,"MIFEL CENTRO COMERCIAL SANTA FE","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1""]","[27088956,27088970,27088981,27088983,27088993]","[1,1,5,5,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140137",175806,71345670,"MIFEL_CORP_REDIT_MPLS_RT01","Planeación","Activo","[""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1"",""UNC.CUAD.907.1"",""UNC.CUAD.904.1.4""]","[27088955,27088949,27088947,27088933]","[1,1,1,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140107",175224,71425984,"MIFEL FLORENCIA","Operativo","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1""]","[26980416,26980427,26980465,26980486,26980467]","[1,7,7,1,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140106",175224,71418308,"PLAZA ORIENTE","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.907.1""]","[26980356,26980345,26980396,26980415,26980394]","[7,1,7,1,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140105",175224,71332722,"MIFEL CUERNAVACA","Operativo","Activo","[""UNC.CUAD.907.1"",""UNC.CUAD.911.1.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.916.1.1""]","[26980323,26980325,26980285,26980274,26980344]","[7,7,7,1,1]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140104",175224,71317416,"MIFEL VIRREYES","Operativo","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.901.1"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1""]","[26980203,26980241,26980252,26980260,26980254]","[7,1,7,1,7]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08140103",175224,71314357,"HERMOSILLO NUEVO MODULO","Planeación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1"",""UNC.CUAD.916.1.1"",""UNC.CUAD.911.1.1""]","[26980160,26980171,26980193,26980202,26980195]","[1,3,3,1,3]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
