"folio","clientName","status","sku","partId","qty","qtyFac"
"A07191579","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878867,1,"[]"
"A07191575","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878861,1,"[]"
"A07191573","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878858,1,"[]"
"A07191576","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878810,3,"[]"
"A07191572","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878804,1,"[]"
"A07191571","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878802,1,"[]"
"A07191569","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878792,1,"[]"
"A07191569","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878802,1,"[]"
"A07191565","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878782,3,"[]"
"A07191562","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878776,1,"[]"
"A07191560","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878770,1,"[]"
"A07191518","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35876293,2,"[]"
"A07191336","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35871867,2,"[]"
"A07191209","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35861837,1,"[]"
"A07191086","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35854378,94,"[]"
"A07190862","BBVA BANCOMER","Activo","UNC.CUAD.AVED203",35728422,3,"[]"
"A07190862","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35728420,3,"[]"
"A07190871","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35728406,4,"[]"
"A07190871","BBVA BANCOMER","Activo","UNC.CUAD.AVED203",35728408,4,"[]"
"A07190827","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35728354,9,"[]"
"A07190827","BBVA BANCOMER","Activo","UNC.CUAD.AVED203",35728356,9,"[]"
"A07190825","BBVA BANCOMER","Activo","UNC.CUAD.AVED203",35728380,11,"[]"
"A07190825","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35728378,11,"[]"
"A06190448","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35706179,68,"[]"
"A06190438","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35706099,2,"[]"
"A06190439","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35706101,32,"[]"
"A06190441","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35706088,44,"[]"
"A06190441","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35706099,2,"[]"
"A06190445","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705863,63,"[]"
"A06190442","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705779,36,"[]"
"A06190442","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705781,2,"[]"
"A06190442","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705779,36,"[]"
"A06190436","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705767,53,"[]"
"A06190436","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705772,3,"[]"
"A06190436","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705767,53,"[]"
"A06190434","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705646,59,"[]"
"A06190431","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705499,71,"[]"
"A06190428","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705272,85,"[]"
"A06190427","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35705274,43,"[]"
"A06190206","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35643920,3,"[]"
"A06190206","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35643918,3,"[]"
"A06190112","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35635731,1,"[]"
"A06190111","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35635471,4,"[]"
"A06190111","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35635469,2,"[]"
"A06190110","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35635486,2,"[]"
"A06190110","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35635488,6,"[]"
"A06190071","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35632130,1,"[]"
"A06190043","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35631546,1,"[]"
"A06190016","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35630819,2,"[]"
"A06190016","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35630821,6,"[]"
"A06190018","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35630842,3,"[]"
"A06190018","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35630840,2,"[]"
"A06190009","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35630795,3,"[]"
"A06190010","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35630800,2,"[]"
"A06190010","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35630802,5,"[]"
"A06190007","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35630779,6,"[]"
"A05193368","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625262,3,"[]"
"A05193368","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625264,21,"[]"
"A05193364","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625249,3,"[]"
"A05193364","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625247,2,"[]"
"A05193354","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625230,2,"[]"
"A05193354","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625232,4,"[]"
"A05193355","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625225,2,"[]"
"A05193375","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625104,2,"[]"
"A05193375","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625106,4,"[]"
"A05193370","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625085,2,"[]"
"A05193370","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625087,5,"[]"
"A05193369","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625062,2,"[]"
"A05193369","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625064,7,"[]"
"A05193362","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625035,2,"[]"
"A05193362","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625037,9,"[]"
"A05193356","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35625018,2,"[]"
"A05193356","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35625020,4,"[]"
"A05193407","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624952,4,"[]"
"A05193407","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624950,2,"[]"
"A05193386","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624904,2,"[]"
"A05193386","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624906,6,"[]"
"A05193403","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624937,3,"[]"
"A05193403","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624935,2,"[]"
"A05193405","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624922,3,"[]"
"A05193381","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624870,2,"[]"
"A05193381","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624872,5,"[]"
"A05193383","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624891,3,"[]"
"A05193383","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624889,2,"[]"
"A05193426","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624723,4,"[]"
"A05193426","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624721,2,"[]"
"A05193419","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624687,2,"[]"
"A05193419","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624689,4,"[]"
"A05193422","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624706,4,"[]"
"A05193422","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624704,2,"[]"
"A05193387","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624642,1,"[]"
"A05193392","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624651,2,"[]"
"A05193392","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624653,4,"[]"
"A05193408","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624670,5,"[]"
"A05193408","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624668,2,"[]"
"A05193431","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624560,2,"[]"
"A05193431","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624562,4,"[]"
"A05193423","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624531,2,"[]"
"A05193423","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624533,7,"[]"
"A05193428","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624551,1,"[]"
"A05193418","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624514,2,"[]"
"A05193418","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624516,4,"[]"
"A05193401","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624497,2,"[]"
"A05193401","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624499,4,"[]"
"A05193391","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35624480,2,"[]"
"A05193391","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35624482,4,"[]"
"A05193331","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35623122,2,"[]"
"A05193331","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623124,4,"[]"
"A05193335","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35623107,2,"[]"
"A05193335","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623109,3,"[]"
"A05193334","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623090,5,"[]"
"A05193334","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35623088,2,"[]"
"A05193326","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623079,1,"[]"
"A05193327","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623067,4,"[]"
"A05193329","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35623050,2,"[]"
"A05193329","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35623052,4,"[]"
"A05193316","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622971,1,"[]"
"A05193316","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622973,7,"[]"
"A05193322","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622991,17,"[]"
"A05193319","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622956,2,"[]"
"A05193319","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622958,3,"[]"
"A05193321","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622933,2,"[]"
"A05193321","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622935,7,"[]"
"A05193314","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622914,6,"[]"
"A05193314","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622912,2,"[]"
"A05193310","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622878,2,"[]"
"A05193310","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622880,3,"[]"
"A05193312","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622895,5,"[]"
"A05193312","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622893,2,"[]"
"A05193308","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622859,6,"[]"
"A05193304","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622836,2,"[]"
"A05193304","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622834,5,"[]"
"A05193307","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622798,2,"[]"
"A05193307","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622800,4,"[]"
"A05193303","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622817,5,"[]"
"A05193303","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622812,1,"[]"
"A05193300","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622769,2,"[]"
"A05193300","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35622771,10,"[]"
"A05193295","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622387,1,"[]"
"A05193297","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622391,1,"[]"
"A05193299","BBVA BANCOMER","Activo","UNC.CUAD.AVBA103",35622393,1,"[]"
"A05193296","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622389,1,"[]"
"A05193292","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622381,1,"[]"
"A05193293","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622385,1,"[]"
"A05193294","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622383,1,"[]"
"A05193273","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622248,1,"[]"
"A05193277","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622250,1,"[]"
"A05193276","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622252,1,"[]"
"A05193278","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622254,1,"[]"
"A05193275","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622242,1,"[]"
"A05193274","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622244,1,"[]"
"A05193272","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35622246,1,"[]"
"A05193245","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35619241,2,"[]"
"A05193245","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35619243,5,"[]"
"A05192912","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35598353,4,"[]"
"A05192806","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35598122,1,"[]"
"A05192682","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35592160,5,"[]"
"A05192547","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35573026,13,"[]"
"A05192332","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35456845,2,"[]"
"A05192332","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35456847,4,"[]"
"A05192338","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35456859,1,"[]"
"A05192322","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35456826,6,"[]"
"A05192330","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35456810,2,"[]"
"A05192330","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35456812,5,"[]"
"A05192314","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35456786,1,"[]"
"A05192320","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35456791,1,"[]"
"A05192320","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35456793,5,"[]"
"A05192337","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35461342,2,"[]"
"A05192337","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35461344,5,"[]"
"A05192340","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35461325,2,"[]"
"A05192340","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35461327,4,"[]"
"A05192329","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35461290,14,"[]"
"A05192328","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35461257,2,"[]"
"A05192328","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35461259,5,"[]"
"A05192324","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35461278,4,"[]"
"A05192324","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35461276,2,"[]"
"A05192321","BBVA BANCOMER","Activo","UNC.CUAD.AVBA100",35461252,1,"[]"
"A05192319","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35464806,1,"[]"
"A05192189","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35402187,1,"[]"
"A05192189","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35402189,1,"[]"
"A05192168","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35402179,1,"[]"
"A05192168","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35402181,1,"[]"
"A05192182","BBVA BANCOMER","Activo","UNC.CUAD.AVBA202",35402173,1,"[]"
"A05192182","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35402171,1,"[]"
"A05192163","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35402163,1,"[]"
