"folio","clientName","siteNumber","oa","service"
"A06190071","BBVA BANCOMER",71820258,376871,"CUAD-AVAYA"
"A06190043","BBVA BANCOMER",71776518,376825,"CUAD-AVAYA"
"A06190016","BBVA BANCOMER",71298352,376743,"CUAD-AVAYA"
"A06190018","BBVA BANCOMER",71301392,376743,"CUAD-AVAYA"
"A06190009","BBVA BANCOMER",70115276,376743,"CUAD-AVAYA"
"A06190010","BBVA BANCOMER",70115437,376743,"CUAD-AVAYA"
"A06190007","BBVA BANCOMER",70115276,376743,"CUAD-AVAYA"
"A05193368","BBVA BANCOMER",70197365,376484,"CUAD-AVAYA"
"A05193364","BBVA BANCOMER",70196095,376484,"CUAD-AVAYA"
"A05193354","BBVA BANCOMER",70114912,376484,"CUAD-AVAYA"
"A05193355","BBVA BANCOMER",70114852,376484,"CUAD-AVAYA"
"A05193375","BBVA BANCOMER",70115567,376469,"CUAD-AVAYA"
"A05193370","BBVA BANCOMER",70115547,376469,"CUAD-AVAYA"
"A05193369","BBVA BANCOMER",70115491,376469,"CUAD-AVAYA"
"A05193362","BBVA BANCOMER",70115486,376469,"CUAD-AVAYA"
"A05193356","BBVA BANCOMER",70115347,376469,"CUAD-AVAYA"
"A05193407","BBVA BANCOMER",71622587,376459,"CUAD-AVAYA"
"A05193386","BBVA BANCOMER",70115464,376459,"CUAD-AVAYA"
"A05193403","BBVA BANCOMER",70119988,376459,"CUAD-AVAYA"
"A05193405","BBVA BANCOMER",70115474,376459,"CUAD-AVAYA"
"A05193381","BBVA BANCOMER",70115325,376459,"CUAD-AVAYA"
"A05193383","BBVA BANCOMER",70115348,376459,"CUAD-AVAYA"
"A05193426","BBVA BANCOMER",71468731,376431,"CUAD-AVAYA"
"A05193419","BBVA BANCOMER",71337457,376431,"CUAD-AVAYA"
"A05193422","BBVA BANCOMER",71450732,376431,"CUAD-AVAYA"
"A05193387","BBVA BANCOMER",71249271,376431,"CUAD-AVAYA"
"A05193392","BBVA BANCOMER",71252627,376431,"CUAD-AVAYA"
"A05193408","BBVA BANCOMER",71283486,376431,"CUAD-AVAYA"
"A05193431","BBVA BANCOMER",71588564,376415,"CUAD-AVAYA"
"A05193423","BBVA BANCOMER",71285594,376415,"CUAD-AVAYA"
"A05193428","BBVA BANCOMER",71354032,376415,"CUAD-AVAYA"
"A05193418","BBVA BANCOMER",71285166,376415,"CUAD-AVAYA"
"A05193401","BBVA BANCOMER",70115232,376415,"CUAD-AVAYA"
"A05193391","BBVA BANCOMER",70115061,376415,"CUAD-AVAYA"
"A05193331","BBVA BANCOMER",71409135,376351,"CUAD-AVAYA"
"A05193335","BBVA BANCOMER",71401855,376351,"CUAD-AVAYA"
"A05193334","BBVA BANCOMER",71295583,376351,"CUAD-AVAYA"
"A05193326","BBVA BANCOMER",70181955,376351,"CUAD-AVAYA"
"A05193327","BBVA BANCOMER",70115000,376351,"CUAD-AVAYA"
"A05193329","BBVA BANCOMER",70114681,376351,"CUAD-AVAYA"
"A05193316","BBVA BANCOMER",70115140,376349,"CUAD-AVAYA"
