"Empresa","CSP","Qty"
"DURAPLAY","BroadTouch Business Communicator Mobile - Video",2
"Bufete_RM","Collaborate",37
"Municipio_de_Jerez","Collaborate",10
"Operadora Romano","3STANDARD",305
"CEM","Integrated IMP",259
"CECOBAN","5PREMIUM",62
"CECOBAN","BroadTouch Business Communicator Tablet - Video",60
"Super_Q","BroadTouch Business Communicator Mobile - Video",11
"CECOBAN","2BUSINESSLINE",113
"CECOBAN","BroadTouch Business Communicator Mobile - Video",60
"IEEG","Messaging",16
"UANE","1BASE",35
"PROCONSA","Integrated IMP",14
"CEM","Collaborate",259
"Modatelas","BroadTouch Business Communicator Desktop - Video",24
"Instituto_Planeacion_Nayarit","5PREMIUM",17
"Te_creemos","Integrated IMP",164
"Cometra","BroadTouch Business Communicator Mobile - Video",15
"AMX_Contenido","2BUSINESSLINE",167
"ATP_Flecha_Roja","Collaborate",6
"KAA","1BASE",65
"DMH","BroadTouch Business Communicator Tablet - Video",42
"CEM","4PERSONALMOBILITY",259
"Diageo","5PREMIUM",16
"CEM","2BUSINESSLINE",259
"GEM","1BASE",30
"DURAPLAY","4PERSONALMOBILITY",6
"GFC","Collaborate",6
"DMHS","5PREMIUM",12
"Jugos_del_Valle","4PERSONALMOBILITY",7
"JEC","Integrated IMP",10
"DMHS","BroadTouch Business Communicator Mobile - Video",12
"Fidere_III","BroadTouch Business Communicator Tablet - Video",6
"GFC","4PERSONALMOBILITY",6
"Municipio_de_Jerez","BroadTouch Business Communicator Mobile - Video",10
"Financiera_Ayudamos","1BASE",12
"SODEXO","5PREMIUM",48
"SODEXO","2BUSINESSLINE",48
"CFE","BroadTouch Business Communicator Desktop - Video",40
"SESAJ","Messaging",27
"FGE","2BUSINESSLINE",170
"FOVISEC","Messaging",3
"Modatelas","BroadWorks Receptionist - Enterprise",4
"AMX_Contenido","Collaborate",5
"Nuestra_Caja","3STANDARD",5
"FCI_Administradora","3STANDARD",15
"Vsys","FaxMessaging",11
"Fidere_III","4PERSONALMOBILITY",16
"AMX_Contenido","BroadTouch Business Communicator Mobile - Video",5
"Generadora_Fenix","4PERSONALMOBILITY",28
"GVM","Messaging",9
"DURAPLAY","3STANDARD",6
"CECOBAN","1BASE",113
"Safety_Textiles","BroadTouch Business Communicator Desktop - Video",4
"Fundacion_Carlos_Slim","3STANDARD",10
"STM","Integrated IMP",36
"Vsys","BroadWorks Receptionist - Enterprise",12
"CCA","5PREMIUM",13
"EME","2BUSINESSLINE",51
"DURAPLAY","BroadTouch Business Communicator Desktop - Video",2
"Troncal_IP","Integrated IMP",3
"Operadora Romano","BroadTouch Business Communicator Mobile - Video",29
"LandIT","4PERSONALMOBILITY",516
"DMH","Messaging",42
"PROCONSA","3STANDARD",119
"DURAPLAY","Collaborate",2
"SESESP","BroadTouch Business Communicator Mobile - Video",50
"VSF","4PERSONALMOBILITY",9
"GVM","1BASE",9
"NAH","5PREMIUM",3
"DURAPLAY","Integrated IMP",2
"NSJPBCS","3STANDARD",39
"LandIT","3STANDARD",516
"Euroelectrica","Integrated IMP",3
"Municipio_de_Jerez","BroadTouch Business Communicator Tablet - Video",10
"GVM","3STANDARD",2
"NSJPBCS","1BASE",39
"Fundacion_Carlos_Slim","BroadTouch Business Communicator Desktop - Video",1
"CGT","5PREMIUM",12
"Dextra_TECH","3STANDARD",11
"CAO-TELMEX","BroadTouch Business Communicator Desktop - Video",51
"APA","1BASE",104
"CECOBAN","Integrated IMP",60
"CECOBAN","4PERSONALMOBILITY",60
"FGE","BroadTouch Business Communicator Mobile - Video",34
"Dextra_TECH","5PREMIUM",2
"H_TSJET","BroadTouch Business Communicator Tablet - Video",10
"Lideres_SIO","4PERSONALMOBILITY",38
"FGE","3STANDARD",49
"Dextra_TECH","4PERSONALMOBILITY",2
"Famosa","Integrated IMP",81
"ASLO","BroadTouch Business Communicator Desktop - Audio",1
"VSF","BroadTouch Business Communicator Mobile - Video",9
"Modatelas","Messaging",15
"PM.Expeditions","3STANDARD",4
"H_TSJET","Collaborate",10
"GVM","BroadTouch Business Communicator Mobile - Video",1
"Diageo","1BASE",130
"KAA","2BUSINESSLINE",65
"SESAJ","4PERSONALMOBILITY",32
"Operadora Romano","BroadWorks Receptionist - Enterprise",1
"HCDG","2BUSINESSLINE",475
"FGE","1BASE",170
"Vsys","5PREMIUM",272
"DURAPLAY","5PREMIUM",7
"UANE","3STANDARD",12
"Diageo","BroadTouch Business Communicator Desktop - Video",2
"Famosa","5PREMIUM",125
"FOVISEC","1BASE",25
"GVE","BroadTouch Business Communicator Mobile - Video",2
"Vsys","BroadTouch Business Communicator Tablet - Video",92
"SFGEBCS","5PREMIUM",16
"SPE","5PREMIUM",32
"GCM","1BASE",890
"JEC","Collaborate",10
"MTBM","Collaborate",10
"EME","3STANDARD",4
"FCI_Administradora","1BASE",15
"EME","4PERSONALMOBILITY",4
"Troncal_IP","BroadTouch Business Communicator Tablet - Video",3
"GFC","BroadTouch Business Communicator Desktop - Video",6
"Euroelectrica","2BUSINESSLINE",67
"fiscaliatabasco","5PREMIUM",103
"H_TSJET","1BASE",141
"GCM","2BUSINESSLINE",890
"EME","BroadTouch Business Communicator Desktop - Video",1
"CFE","Integrated IMP",40
"Fidere_III","5PREMIUM",15
"Audioconferencias_Telmex","3STANDARD",1
"CCA","4PERSONALMOBILITY",13
"Municipio_de_Jerez","4PERSONALMOBILITY",10
"Euroelectrica","3STANDARD",11
"Diageo","BroadTouch Business Communicator Mobile - Video",2
"DURAPLAY","Messaging",2
"Euroelectrica","4PERSONALMOBILITY",10
"Euroelectrica","BroadTouch Business Communicator Desktop - Video",4
"PROCONSA","BroadTouch Business Communicator Tablet - Video",14
"IEEG","4PERSONALMOBILITY",24
"Dextra_TECH","1BASE",125
"Euroelectrica","BroadTouch Business Communicator Mobile - Video",1
"Licenciamiento","BroadTouch Business Communicator Mobile - Video",5
"GVE","BroadTouch Business Communicator Desktop - Video",2
"Jugos_del_Valle","BroadTouch Business Communicator Tablet - Video",7
"FCI_Administradora","Messaging",14
"Vsys","Automatic Hold/Retrieve",43
"IEEG","BroadTouch Business Communicator Desktop - Video",22
"GDF","2BUSINESSLINE",55
"CGT","Messaging",4
"Super_Q","4PERSONALMOBILITY",14
"Cometra","BroadTouch Business Communicator Tablet - Video",15
"SESAJ","1BASE",44
"FOVISEC","3STANDARD",3
"FCI_Administradora","4PERSONALMOBILITY",12
"Famosa","2BUSINESSLINE",559
"STM","Messaging",36
"Fundacion_Carlos_Slim","2BUSINESSLINE",10
"Famosa","3STANDARD",242
"Famosa","4PERSONALMOBILITY",127
"Modatelas","3STANDARD",211
"Famosa","BroadTouch Business Communicator Mobile - Video",29
"Fidere_III","1BASE",60
"NSJPBCS","BroadTouch Business Communicator Tablet - Video",4
"GFC","Integrated IMP",6
"NAH","3STANDARD",3
"Gayosso","3STANDARD",61
"GVE","3STANDARD",9
"GFC","1BASE",26
"LALA","BroadTouch Business Communicator Mobile - Video",2425
"UANE","Messaging",12
"Bufete_RM","Integrated IMP",37
"bsft","2BUSINESSLINE",22
"DMHS","BroadTouch Business Communicator Desktop - Video",13
"H_TSJET","4PERSONALMOBILITY",10
"Gayosso","Integrated IMP",43
"Nuestra_Caja","Collaborate",2
"Fidere_III","Integrated IMP",2
"PGJ_MICH","3STANDARD",77
"HCDG","3STANDARD",475
"GCM","5PREMIUM",96
"Financiera_Ayudamos","4PERSONALMOBILITY",3
"CCA","BroadTouch Business Communicator Mobile - Video",13
"CGT","BroadTouch Business Communicator Desktop - Video",4
"PGJ_MICH","BroadTouch Business Communicator Desktop - Video",27
"Diageo","3STANDARD",35
"PGJ_MICH","Collaborate",27
"PROCONSA","1BASE",121
"Fundacion_Carlos_Slim","Messaging",10
"SPE","2BUSINESSLINE",159
"PGJ_MICH","Integrated IMP",27
"AMX_Ent_2414026_CUAD","BroadTouch Business Communicator Mobile - Video",16
"GVM","2BUSINESSLINE",9
"SODEXO","1BASE",48
"PGJ_MICH","Messaging",27
"PM.Expeditions","1BASE",10
"PM.Expeditions","2BUSINESSLINE",10
"CEM","3STANDARD",259
"PM.Expeditions","5PREMIUM",4
"PM.Expeditions","4PERSONALMOBILITY",4
"UANE","BroadTouch Business Communicator Mobile - Video",12
"Municipio_de_Jerez","5PREMIUM",10
"PM.Expeditions","BroadTouch Business Communicator Desktop - Video",1
"Municipio_de_Jerez","3STANDARD",12
"PM.Expeditions","Integrated IMP",1
"Municipio_de_Jerez","BroadTouch Business Communicator Desktop - Video",10
"SPA","3STANDARD",142
"CECOBAN","3STANDARD",60
"PROCONSA","5PREMIUM",14
"PROCONSA","4PERSONALMOBILITY",14
"fiscaliatabasco","3STANDARD",489
"PROCONSA","BroadTouch Business Communicator Mobile - Video",14
"CEM","5PREMIUM",259
"PROCONSA","BroadTouch Business Communicator Desktop - Video",14
"PROCONSA","Collaborate",14
"Contingencia","Integrated IMP",2
"PROCONSA","Messaging",14
"SESESP","5PREMIUM",54
"SPA","2BUSINESSLINE",698
"ASLO","BroadTouch Business Communicator Mobile - Video",1
"Instituto_Salvatierra","3STANDARD",11
"Diageo","Messaging",127
"SESESP","3STANDARD",54
"Hospital_Santander","2BUSINESSLINE",127
"SESESP","BroadTouch Business Communicator Tablet - Video",50
"ASLO","BroadTouch Business Communicator Mobile",1
"SESESP","4PERSONALMOBILITY",54
"Vsys","AttendantConsole",7
"SESESP","Collaborate",50
"Multiservicios_Nieto","5PREMIUM",7
"SESESP","Integrated IMP",50
"SESESP","Messaging",50
"Multiservicios_Nieto","Integrated IMP",6
"SFGEBCS","3STANDARD",60
"SFGEBCS","1BASE",60
"SFGEBCS","2BUSINESSLINE",60
"SFGEBCS","BroadTouch Business Communicator Desktop - Video",11
"SFGEBCS","4PERSONALMOBILITY",11
"Safety_Textiles","Integrated IMP",4
"H_TSJET","3STANDARD",40
"UANE","4PERSONALMOBILITY",12
"SFGEBCS","Integrated IMP",9
"SPE","BroadTouch Business Communicator Desktop - Audio",2
"Contingencia","BroadTouch Business Communicator Mobile - Video",68
"Cometra","4PERSONALMOBILITY",15
"SFGEBCS","BroadTouch Business Communicator Mobile - Video",8
"LALA","4PERSONALMOBILITY",2799
"SFGEBCS","BroadTouch Business Communicator Tablet - Video",7
"SFGEBCS","Collaborate",7
"Dextra_TECH","BroadTouch Business Communicator Desktop - Video",1
"SPA","4PERSONALMOBILITY",142
"SPA","BroadTouch Business Communicator Tablet - Video",2
"SPE","1BASE",159
"SPE","3STANDARD",32
"SPE","4PERSONALMOBILITY",36
"Hospital_Santander","4PERSONALMOBILITY",12
"SPE","BroadTouch Business Communicator Desktop - Video",33
"STM","3STANDARD",36
"STM","BroadTouch Business Communicator Tablet - Video",36
"JEC","Messaging",10
"STM","2BUSINESSLINE",36
"Vsys","BroadTouch Business Communicator Mobile - Audio",3
"STM","BroadTouch Business Communicator Mobile - Video",36
"STM","BroadTouch Business Communicator Desktop - Video",36
"STM","Collaborate",36
"Licenciamiento","1BASE",6
"Safety_Textiles","3STANDARD",22
"IEEG","1BASE",196
"MTBM","Integrated IMP",10
"Safety_Textiles","1BASE",22
"Safety_Textiles","2BUSINESSLINE",22
"Vsys","BroadTouch Business Communicator Mobile - Video",193
"CCA","Integrated IMP",13
"CAO-TELMEX","Collaborate",51
"Safety_Textiles","Messaging",19
"Vsys","Call Center - Premium",11
"Safety_Textiles","5PREMIUM",4
"CFE","3STANDARD",40
"Safety_Textiles","BroadTouch Business Communicator Mobile - Video",4
"Safety_Textiles","Collaborate",4
"Super_Q","3STANDARD",57
"Instituto_Salvatierra","BroadTouch Business Communicator Desktop - Video",11
"Super_Q","1BASE",57
"Operadora Romano","BroadTouch Business Communicator Desktop",1
"Jugos_del_Valle","Integrated IMP",7
"PROVIDENT","3STANDARD",201
"Super_Q","BroadWorks Receptionist - Enterprise",1
"Te_creemos","5PREMIUM",165
"Gayosso","5PREMIUM",63
"Bufete_RM","BroadWorks Receptionist - Enterprise",3
"Telmex","BroadTouch Business Communicator Desktop - Video",1878
"Troncal_IP","Messaging",3
"Te_creemos","3STANDARD",165
"Telmex","BroadTouch Business Communicator Mobile - Video",1842
"Licenciamiento","BroadTouch Business Communicator Tablet - Video",6
"Te_creemos","1BASE",165
"Safety_Textiles","BroadTouch Business Communicator Tablet - Video",4
"Te_creemos","4PERSONALMOBILITY",165
"Te_creemos","2BUSINESSLINE",165
"Te_creemos","Collaborate",164
"Te_creemos","Messaging",164
"DMHS","Messaging",12
"SESAJ","3STANDARD",44
"Telmex","3STANDARD",2773
"GEM","3STANDARD",30
"Telmex","BroadTouch Business Communicator Tablet - Video",1976
"Telmex","Collaborate",1832
"Telmex","4PERSONALMOBILITY",2446
"AMX_Contenido","3STANDARD",37
"Telmex","Calling Line ID Blocking Override",2
"CFE","BroadTouch Business Communicator Tablet - Video",40
"Vsys","Messaging",120
"bsft","BroadWorks Receptionist - Enterprise",2
"DMH","1BASE",344
"PROCONSA","2BUSINESSLINE",121
"Super_Q","Integrated IMP",11
"Troncal_IP","5PREMIUM",3
"Troncal_IP","1BASE",3
"Troncal_IP","2BUSINESSLINE",3
"Troncal_IP","3STANDARD",3
"Troncal_IP","BroadTouch Business Communicator Mobile - Video",3
