"clientName","serviceProviderId","rfc","siteName","siteNumber","groupId","groupName","tecnologia"
"MODATELAS","Modatelas","MOD041014KI3","MANZANILLO",71467473,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OCOTLAN",71467472,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALAJARAIV",71467460,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALAJARAIII",71467459,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FRESNILLO",71467457,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AGUASCALIENTESII",71467456,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AGUASCALIENTESI",71467455,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEPIC",71467454,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACATECAS",71467453,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUADALAJARAI",71467452,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COLIMA",71467451,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACAPU MUCHOACAN",71467450,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANLUISPOTOSI",71467449,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEPALCATEPEC",71467448,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TANGANCICUARO",71467447,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MATEHUALA",71467446,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","RIOVERDE",71467445,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LAZAROCARDENAS",71467443,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASYMORELIA",71467442,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LEONVI",71467441,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SLPIII",71467440,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASYLEON POLIFORUM",71467439,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEQUISQUIAPAN",71467438,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","DOLORESHIDALGO",71467437,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TAMAZUNCHALE",71467436,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VALLEDESANTIAGO",71467435,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SILAO",71467434,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MOROLEON",71467433,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IRAPUATOII",71467432,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PURUANDIRO",71467431,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LEONIV",71467430,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SALVATIERRA",71467429,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD VALLES",71467428,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MARAVATIO",71467427,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASY3 CEL",71467426,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","APATZINGAN",71467425,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LEONIII",71467424,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANLUISPOTOSIII",71467423,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LEONII",71467422,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANJUANDELRIO",71467421,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CELAYAII",71467420,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SAHUAYOII",71467419,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","QUERETAROIII",71467418,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAMBARO",71467417,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","QUERETAROII",71467416,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SALAMANCA",71467415,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IRAPUATO",71467414,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LAPIEDAD",71467413,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANFRANCISCODELRINCON",71467412,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANLUISPOTOSI",71467411,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SAHUAYO",71467410,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZITACUARO",71467409,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","URUAPAN",71467401,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MORELIA",71467400,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LEON",71467399,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CELAYAI",71467395,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","QUERETARO",71467394,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACAPU",71467392,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZAMORA",71467391,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYX",71467390,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYVIII PLAZA SAN MIGUEL",71467389,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONCLOVAII",71467388,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","NUEVOLAREDOII",71467387,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SALTILLOIII",71467386,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASY5 MTY",71467385,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASY4 TAM",71467384,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SALTILLOII",71467383,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYVI",71467382,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","NUEVOLAREDO",71467381,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDVICTORIA",71467380,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONCLOVA",71467379,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANTACATARINA",71467378,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYV",71467377,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYIV",71467376,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TAMPICOII",71467375,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SALTILLO",71467374,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYIII",71467373,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD MADERO",71467372,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TAMPICOI",71467371,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYI",71467370,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PALENQUE CHIAPAS",71467369,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD DEL CARMEN",71467368,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OAXACA",71467367,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CAMPECHE",71467366,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VILLAHERMOSA",71467365,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHAMPOTON",71467364,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TUXTLAIII",71467363,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CINTALAPA",71467362,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TENOSIQUE",71467361,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CANCUN4 PLAZA HEROES",71467360,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MERIDAVI",71467359,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CANCUNIII KAHBA",71467358,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MERIDAV",71467357,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OCOSINGO",71467356,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COMALAPA",71467355,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OAXACAIV",71467354,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COMITAN",71467353,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PLAYADELCARMENII",71467352,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASYCANCUN",71467351,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MERIDAII",71467350,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TAPACHULAII",71467349,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PINOTEPA",71467348,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","HUIXTLA",71467347,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MACUSPANA",71467346,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PLAYADELCARMEN",71467345,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MIAHUATLAN",71467344,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OAXACAIII",71467343,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHETUMAL",71467342,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANCRISTOBALDELASCASAS",71467341,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","JUCHITAN",71467340,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MUNDOMAYA",71467339,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","FANTASY1 OAX",71467338,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TAPACHULA",71467337,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COZUMEL",71467336,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CANCUN",71467335,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VILLAHERMOSAII",71467334,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CARDENAS",71467333,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MERIDA",71467332,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COMALCALCO",71467331,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TUXTLAGTZ II",71467330,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD DEL CARMEN",71467329,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CAMPECHE",71467328,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TUXTLAGTZ I",71467327,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VILLAHERMOSAI",71467326,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OAXACA",71467325,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","JIUTEPEC",71467324,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCOVII",71467323,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCOVI",71467322,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IGUALA",71467321,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CUERNAVACAIII",71467320,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZIHUATANEJO",71467319,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","BODEGADEMERCERIA ACAPULCO",71467318,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCOIV",71467317,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCOIII",71467316,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CUERNAVACAII",71467315,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCOII",71467314,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEMIXCO",71467313,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHILPANCINGO",71467312,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CUERNAVACA",71467311,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ACAPULCO",71467310,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CUAUTLA",71467309,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TLALNEPANTLAIII",71467308,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LAAURORA",71467307,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHIMALHUACANIII LOS PATOS",71467306,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TICOMAN",71467305,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZUMPANGOI",71467304,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VISITACION MELCHOR OCAMPO",71467303,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEPOTZOTLAN",71467302,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TENANCINGO",71467301,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VALLEDEBRAVO",71467300,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IXTAPALUCAII",71467299,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COACALCOIII",71467298,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TOLUCAV",71467297,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TOLUCAV",71467288,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VENUSTIANOCARRANZA CENTRO",71467287,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANTIAGOTIANGUISTENCO",71467286,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ATLACOMULCOII",71467285,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ERMITAII",71467284,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHALCOIII",71467283,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHALCOIIVALLE PLAZA SENDERO",71467282,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TECAMACII",71467281,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CUAUTITLANDEROMERORUBIO",71467280,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PLAZACHIMALHUACAN",71467279,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IZTAPALAPA",71467278,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","AMECAMECA",71467277,,,"CUAD-BROADSOFT"
