"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A02190397",354910,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.904.1.1",34228623,25,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190393",354833,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.904.1.1",34225723,50,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190326",354796,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.912.1",34217196,25,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190325",354785,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.912.1",34214558,25,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A02190284",354685,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.908.1",34212759,50,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A01191502",354480,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.906.1.1",34178112,300,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180945",351390,71785338,"PREMIUM TOLUCA","Desconocido","Activo","UNC.CUAD.907.1",33835648,300,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","UNC.CUAD.901.1",33770100,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","UNC.CUAD1.907.1",33770350,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","UNC.CUAD.904.1.4",33770124,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","UNC.CUAD.911.1",33770122,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A12180551",349870,71778678,"BANCA MIFEL ALTTUS SAN LUIS POTOSI","Implementación","Activo","UNC.CUAD.907.1",33770115,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10181344",343735,71358780,"MIFEL AGRONEGOCIO AGUASCALIENTES","Planeación","Activo","UNC.CUAD.901.1",33635396,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08180570",332901,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","UNC.CUAD.901.1",33401305,5,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08180570",332901,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","UNC.CUAD.907.1",33401360,5,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08180570",332901,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","UNC.CUAD.904.1.4",33401362,5,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A08180570",332901,70229799,"MIFEL_CORP_MASARYK_MPLS_RT01","Planeación","Activo","UNC.CUAD.911.1.1",33401359,5,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A07180287",327541,71721618,"SAN MIGUEL DE ALLENDE","Implementación","Activo","UNC.CUAD.901.1",33279190,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
