"folio","siteNumber","siteName","phase","clientName","sku","partId","qty","qtyFac"
"A10190240",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36377406,9,"[]"
"A10190140",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36373897,9,"[]"
"A10190319",71547205,"DORAMA CULIACAN","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36373703,1,"[]"
"A10190187",71547256,"DORAMA HERMOSILLO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36372369,1,"[]"
"A10190185",71547256,"DORAMA HERMOSILLO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36372043,3,"[]"
"A10190337",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36371042,9,"[]"
"A10190114",71570508,"SPTI TIJUANA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36371689,1,"[]"
"A10190327",71570508,"SPTI TIJUANA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36370740,3,"[]"
"A10190302",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36370538,1,"[]"
"A10190326",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36369127,3,"[]"
"A10190109",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36368180,9,"[]"
"A10190105",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36367045,9,"[]"
"A10190097",71432170,"FIANZAS DORAMA LEON NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366716,1,"[]"
"A10190095",71432170,"FIANZAS DORAMA LEON NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366387,3,"[]"
"A10190267",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366269,1,"[]"
"A10190339",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366151,1,"[]"
"A10190287",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364687,5,"[]"
"A10190086",71432171,"FIANZAS DORAMA SAN LUIS POTOSI NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364582,1,"[]"
"A10190273",71432171,"FIANZAS DORAMA SAN LUIS POTOSI NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364244,3,"[]"
"A10190052",71547275,"DORAMA TAMPICO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36360973,1,"[]"
"A10190049",71547275,"DORAMA TAMPICO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358816,3,"[]"
"A10190092",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358418,1,"[]"
"A10190100",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358309,1,"[]"
"A10190062",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358139,1,"[]"
"A10190107",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36357473,6,"[]"
"A10190061",71344763,"FIANZAS DORAMA TOLUCA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36357282,1,"[]"
"A10190099",71344763,"FIANZAS DORAMA TOLUCA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36356849,3,"[]"
"A10190059",71358249,"FIANZAS DORAMA PLAZA IMAGEN","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36356714,1,"[]"
"A10190082",71358249,"FIANZAS DORAMA PLAZA IMAGEN","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36356235,4,"[]"
"A10190046",71547310,"DORAMA CUERNAVACA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36356021,1,"[]"
"A10190084",71547310,"DORAMA CUERNAVACA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36355563,4,"[]"
"A10190073",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36348555,5,"[]"
"A10190068",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36342505,18,"[]"
"A10190067",71706677,"SPTI MURILLO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36339180,2,"[]"
"A10190050",71706677,"SPTI MURILLO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36338680,5,"[]"
"A09191063",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36247273,1,"[]"
"A05192631",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35578181,4,"[]"
"A05192631",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35578565,4,"[]"
"A05192631",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35578597,4,"[]"
"A05192631",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35578599,4,"[]"
"A05192629",71306857,"VERACRUZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35551914,5,"[]"
"A05192629",71306857,"VERACRUZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35552432,5,"[]"
"A05192629",71306857,"VERACRUZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35552434,5,"[]"
"A05192629",71306857,"VERACRUZ","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35552393,5,"[]"
"A04196587",71465870,"FIANZAS DORAMA QUERETARO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35097799,4,"[]"
"A04196587",71465870,"FIANZAS DORAMA QUERETARO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35098217,4,"[]"
"A04196587",71465870,"FIANZAS DORAMA QUERETARO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35098183,4,"[]"
"A04196587",71465870,"FIANZAS DORAMA QUERETARO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35098215,4,"[]"
"A04196586",71420900,"SOFIMEX REFORMA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35097163,6,"[]"
"A04196586",71420900,"SOFIMEX REFORMA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35097737,6,"[]"
"A04196586",71420900,"SOFIMEX REFORMA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35097785,6,"[]"
"A04196586",71420900,"SOFIMEX REFORMA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35097783,6,"[]"
"A04196585",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35094977,21,"[]"
"A04196585",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.906.1",35096981,21,"[]"
"A04196585",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.907.1",35097132,21,"[]"
"A04196585",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.911.1",35097134,21,"[]"
"A04196583",71287884,"AFIANZADORA MERIDA 2","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",35094020,9,"[]"
