"folio","clientName","status","sku","partId","qty","qtyFac"
"A10190273","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36364244,3,"[3]"
"A10190052","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36360973,1,"[1]"
"A10190049","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36358816,3,"[3]"
"A10190092","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36358418,1,"[1]"
"A10190100","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36358309,1,"[1]"
"A10190062","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36358139,1,"[1]"
"A10190107","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36357473,6,"[6]"
"A10190061","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36357282,1,"[1]"
"A10190099","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36356849,3,"[3]"
"A10190059","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36356714,1,"[1]"
"A10190082","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36356235,4,"[4]"
"A10190046","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36356021,1,"[1]"
"A10190084","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36355563,4,"[4]"
"A10190073","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36348555,5,"[5]"
"A10190068","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36342505,18,"[18]"
"A10190067","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36339180,2,"[2]"
"A10190050","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36338680,5,"[5]"
"A09191063","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36247273,1,"[1]"
"A05192631","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35578181,4,"[]"
"A05192631","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35578565,4,"[]"
"A05192631","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35578597,4,"[]"
"A05192631","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35578599,4,"[]"
"A05192629","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35551914,5,"[]"
"A05192629","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35552432,5,"[]"
"A05192629","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35552434,5,"[]"
"A05192629","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35552393,5,"[]"
"A04196587","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35097799,4,"[]"
"A04196587","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35098217,4,"[]"
"A04196587","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35098183,4,"[]"
"A04196587","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35098215,4,"[]"
"A04196586","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35097163,6,"[]"
"A04196586","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35097737,6,"[]"
"A04196586","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35097785,6,"[]"
"A04196586","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35097783,6,"[]"
"A04196585","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35094977,21,"[]"
"A04196585","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35096981,21,"[]"
"A04196585","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35097132,21,"[]"
"A04196585","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35097134,21,"[]"
"A04196583","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",35094020,9,"[]"
"A04196583","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",35094892,9,"[]"
"A04196583","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",35094959,9,"[]"
"A04196583","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",35094961,9,"[]"
"A04196298","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",35059757,1,"[]"
"A04196289","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",35059623,1,"[1]"
"A04195999","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",35048968,3,"[]"
"A03193543","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34458142,5,"[]"
"A03193543","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34458631,5,"[]"
"A03193543","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34458670,5,"[]"
"A03193543","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34458672,5,"[]"
"A03193539","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34455539,8,"[]"
"A03193539","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34456319,8,"[]"
"A03193539","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34456323,8,"[]"
"A03193539","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34456321,8,"[]"
"A03193506","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",34451796,1,"[1]"
"A03192076","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",34433009,1,"[]"
"A03191682","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34374851,8,"[]"
"A03191682","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34374911,8,"[]"
"A03191682","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34375693,8,"[]"
"A03191682","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34375691,8,"[]"
"A03190029","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34372680,1,"[]"
"A03190029","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34372790,1,"[]"
"A03190029","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34372788,1,"[]"
"A03190029","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1.1",34372781,1,"[]"
"A03190028","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34372044,6,"[]"
"A03190028","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34372678,6,"[]"
"A03190028","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34372630,6,"[]"
"A03190028","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34372676,6,"[]"
"A03190013","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34371408,6,"[]"
"A03190013","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34372040,6,"[]"
"A03190013","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34372042,6,"[]"
"A03190013","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34371994,6,"[]"
"A03190019","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",34371365,5,"[]"
"A03190019","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",34371404,5,"[]"
"A03190019","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34370876,5,"[]"
"A03190019","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",34371406,5,"[]"
"A02190492","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34265236,1,"[3,1]"
"A02190491","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",34264267,8,"[3]"
"A10181588","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.V9.4",33649134,1,"[1]"
"A10181434","SERVICIOS PARA TI S.A. DE C.V.","Activo",,,,"[]"
"A09181117","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",33573652,1,"[1]"
"A01190987","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",33557646,3,"[3]"
"A08180519","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",33397815,1,"[1]"
"A05181413","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",33114964,1,"[1]"
"A12171940","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",32474510,1,"[1]"
"A12171936","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",32473959,1,"[]"
"A12171941","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",32473859,1,"[]"
"A10160036","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.V9.4",30490119,1,"[]"
"A08160345","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.V9.4",30490025,1,"[]"
"A08160304","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30486393,1,"[]"
"A08160235","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30474279,1,"[]"
"A07160269","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30386677,1,"[]"
"A07160191","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30330754,2,"[]"
"A07160190","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30330835,2,"[]"
"A03170357","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",30329991,2,"[]"
"A10190025","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36338571,1,"[1]"
"A10190030","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36349046,6,"[6]"
"A10190033","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36347684,9,"[9]"
"A10190040","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36353037,14,"[14]"
"A10190042","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36354600,8,"[8]"
"A10190044","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36355396,1,"[1]"
"A10190380","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36381871,9,"[]"
"A10190378","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36385746,1,"[1]"
"A10190376","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36373381,3,"[3]"
"A10190375","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36378383,9,"[9]"
"A10190373","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36372476,9,"[9]"
"A10190372","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36401379,9,"[9]"
"A10190381","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36375372,8,"[7]"
"A10190382","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36386220,1,"[1]"
"A10190387","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36404811,4,"[4]"
"A10190388","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36405225,1,"[1]"
"A10190389","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36405345,1,"[1]"
"A10190393","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36386729,1,"[1]"
"A10190398","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36392680,6,"[6]"
"A10190401","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36387909,1,"[1]"
"A10190401","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",36387911,3,"[3]"
"A10190401","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36387913,3,"[3]"
"A10190401","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",36388202,3,"[]"
"A10190401","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",36388227,3,"[]"
"A10190402","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36385384,3,"[3]"
"A10190405","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36386401,3,"[3]"
"A10190403","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36393336,6,"[6]"
"A10190415","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36388243,8,"[8]"
"A10190417","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36390847,9,"[9]"
"A10190423","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36395022,6,"[6]"
"A10190424","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36395656,7,"[7]"
"A10190427","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36394663,3,"[]"
"A10190427","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",36394952,3,"[]"
"A10190427","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",36394977,3,"[]"
"A10190427","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",36394979,3,"[]"
"A10190429","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36404132,7,"[7]"
"A10190431","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36405453,5,"[5]"
"A10190434","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36397809,6,"[6]"
"A10190460","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36400127,9,"[9]"
"A10190519","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36409785,1,"[1]"
"A10190533","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36405945,1,"[1]"
"A10190539","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36406049,5,"[5]"
"A10190541","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36407781,1,"[]"
"A10190550","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36406540,1,"[1]"
"A10190555","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36410310,1,"[1]"
"A10190565","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36409028,1,"[1]"
"A10190566","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36406670,8,"[8]"
"A10190599","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36410428,4,"[4]"
"A10190608","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36408402,1,"[1]"
"A10190610","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36411852,6,"[6]"
"A10190612","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36407463,1,"[]"
"A10190613","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36412477,1,"[1]"
"A10190614","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36409168,1,"[1]"
"A10190616","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36410958,1,"[1]"
"A10190617","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36413816,4,"[4]"
"A10190618","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36414228,1,"[1]"
"A10190619","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36412621,3,"[3]"
"A10190620","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36411092,6,"[6]"
"A10190626","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36412995,1,"[]"
"A10190628","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36411733,1,"[1]"
"A10190629","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36413713,1,"[1]"
"A10190635","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36413197,5,"[5]"
"A10190958","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36571613,1,"[1]"
"A10190960","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36574334,2,"[2]"
"A10190961","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36576306,1,"[1]"
"A10190963","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36578589,1,"[1]"
"A10190964","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36577850,1,"[1]"
"A10190969","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36578787,1,"[1]"
"A10190970","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36578850,1,"[1]"
"A10190973","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579077,1,"[1]"
"A10190974","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579236,1,"[1]"
"A10190975","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579131,1,"[1]"
"A10190976","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579184,1,"[1]"
"A10190980","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579288,1,"[1]"
"A10190982","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579476,1,"[1]"
"A10190983","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579531,1,"[1]"
"A10190986","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36579599,1,"[1]"
"A11190528","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",36700600,8,"[8]"
"A11190528","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",36700602,8,"[8]"
"A11190528","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",36700662,8,"[8]"
"A11190530","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.911.1",36700677,30,"[30]"
"A11190530","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",36700679,30,"[30]"
"A11190530","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",36700893,30,"[30]"
"A11190531","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.906.1",36700895,30,"[30]"
"A11190531","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.907.1",36701109,30,"[30]"
