"folio","oa","emission","siteNumber","siteName","service","clientName"
"A10191127",394210,"2019-10-10T05:00:00.000Z",71773158,"TEXCOCO ELAI","CUAD-AVAYA","ELAI,SC"
"A10191121",394189,"2019-10-10T05:00:00.000Z",71331265,"INGENIO TABASCO","CUAD-AVAYA","ELAI,SC"
"A10190966",393858,"2019-10-08T05:00:00.000Z",71830342,"3720 PICACHO-AJUSCO","CUAD-AVAYA","BBVA BANCOMER"
"A10190957",393843,"2019-10-08T05:00:00.000Z",71826286,"6643 LAS CHOAPAS","CUAD-AVAYA","BBVA BANCOMER"
"A10190955",393843,"2019-10-08T05:00:00.000Z",71786754,"1017 HERMOSA PROVINCIA 2018","CUAD-AVAYA","BBVA BANCOMER"
"A10190845",393710,"2019-10-07T05:00:00.000Z",71826276,"3968 LORETO CENTRO R","CUAD-AVAYA","BBVA BANCOMER"
"A10190860",393664,"2019-10-07T05:00:00.000Z",71830347,"0577 MINATITLAN JUSTO SIERRA","CUAD-AVAYA","BBVA BANCOMER"
"A10190857",393664,"2019-10-07T05:00:00.000Z",71830194,"1432 SAMS MEXICO 68 CULIACAN","CUAD-AVAYA","BBVA BANCOMER"
"A10190852",393664,"2019-10-07T05:00:00.000Z",71830191,"1491 PLAZA SENDERO MEXICALI","CUAD-AVAYA","BBVA BANCOMER"
"A10190850",393664,"2019-10-07T05:00:00.000Z",71830186,"1520 PLAZA 450 DURANGO","CUAD-AVAYA","BBVA BANCOMER"
"A10190839",393664,"2019-10-07T05:00:00.000Z",71830178,"1482 CENTRO COMERCIAL ALDEA GUANAJUATO","CUAD-AVAYA","BBVA BANCOMER"
"A10190153",392544,"2019-10-01T05:00:00.000Z",70122095,"5882 TLAXCALA OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A10190103",392544,"2019-10-01T05:00:00.000Z",70122076,"3915 CUERNAVACA PLAN DE AYALA","CUAD-AVAYA","BBVA BANCOMER"
"A09191314",391719,"2019-09-26T05:00:00.000Z",71436433,"1818 EMPRESAS DF POLANCO","CUAD-AVAYA","BBVA BANCOMER"
"A09191312",391719,"2019-09-26T05:00:00.000Z",70115474,"5454 PUERTO VALLARTA PLAZA CARACOL","CUAD-AVAYA","BBVA BANCOMER"
"A09190376",389201,"2019-09-05T05:00:00.000Z",70115241,"5609 HUAUCHINANGO","CUAD-AVAYA","BBVA BANCOMER"
"A09190379",389201,"2019-09-05T05:00:00.000Z",71354031,"4666 PLAZA VALLE ORIZABA","CUAD-AVAYA","BBVA BANCOMER"
"A09190369",389199,"2019-09-05T05:00:00.000Z",71673740,"5600 PACHUCA TASTILLO","CUAD-AVAYA","BBVA BANCOMER"
"A08190790",385127,"2019-08-08T05:00:00.000Z",71283484,"5204 SAN MIGUEL ALLENDE PZA LUCIERNAGA","CUAD-AVAYA","BBVA BANCOMER"
"A08190799",385127,"2019-08-08T05:00:00.000Z",71587407,"5062 HERMOSILLO SOLARIDAD","CUAD-AVAYA","BBVA BANCOMER"
"A07193069",383584,"2019-07-24T05:00:00.000Z",71696904,"2432 GENOVA CER","CUAD-AVAYA","BBVA BANCOMER"
"A07191701",382988,"2019-07-18T05:00:00.000Z",70114486,"423 GUADALAJARA AMERICAS NERUDA","CUAD-AVAYA","BBVA BANCOMER"
"A07191699",382983,"2019-07-18T05:00:00.000Z",70114486,"423 GUADALAJARA AMERICAS NERUDA","CUAD-AVAYA","BBVA BANCOMER"
"A07191623",382873,"2019-07-18T05:00:00.000Z",71779080,"SITE 1462 GALERIAS LAGUNA (SITE)","CUAD-AVAYA","BBVA BANCOMER"
"A07191603",382783,"2019-07-17T05:00:00.000Z",71771790,"316 VENTURA PUENTE","CUAD-AVAYA","BBVA BANCOMER"
"A07191597",382783,"2019-07-17T05:00:00.000Z",71253568,"5201 CHEDRAUI AJUSCO","CUAD-AVAYA","BBVA BANCOMER"
"A07191601",382783,"2019-07-17T05:00:00.000Z",71404115,"4719 CIUDAD GRANJA","CUAD-AVAYA","BBVA BANCOMER"
"A07191594",382783,"2019-07-17T05:00:00.000Z",70222343,"5031 CHETUMAL PLAZA LAS AMERICAS","CUAD-AVAYA","BBVA BANCOMER"
"A07191590",382783,"2019-07-17T05:00:00.000Z",70115624,"5803 HERMOSILLO VERACRUZ","CUAD-AVAYA","BBVA BANCOMER"
"A07191586",382783,"2019-07-17T05:00:00.000Z",70115200,"1098 ZAPOTLANEJO","CUAD-AVAYA","BBVA BANCOMER"
"A07191581",382783,"2019-07-17T05:00:00.000Z",70114321,"242  NINO PERDIDO","CUAD-AVAYA","BBVA BANCOMER"
"A07191593",382782,"2019-07-17T05:00:00.000Z",71673293,"3629 COMERCIAL MEXICANA ARAGON","CUAD-AVAYA","BBVA BANCOMER"
"A07191589",382782,"2019-07-17T05:00:00.000Z",71576810,"744 ABASTOS CULIACAN","CUAD-AVAYA","BBVA BANCOMER"
"A07191585",382782,"2019-07-17T05:00:00.000Z",71233229,"4221 BANCA PATRIM MAZARICK","CUAD-AVAYA","BBVA BANCOMER"
"A07191582",382782,"2019-07-17T05:00:00.000Z",70122010,"5928 ALTOTONGA","CUAD-AVAYA","BBVA BANCOMER"
"A07191579",382782,"2019-07-17T05:00:00.000Z",70118881,"443  ABASTOS CARDENAS","CUAD-AVAYA","BBVA BANCOMER"
"A07191575",382782,"2019-07-17T05:00:00.000Z",70115749,"600 TIJUANA CONSTITUCION","CUAD-AVAYA","BBVA BANCOMER"
"A07191573",382782,"2019-07-17T05:00:00.000Z",70114530,"475 LEON PARQUE HIDALGO","CUAD-AVAYA","BBVA BANCOMER"
"A07191576",382774,"2019-07-17T05:00:00.000Z",71797840,"2057 DIRECCIÓN HIPOTECARIA PROMOTOR OCCIDENTE","CUAD-AVAYA","BBVA BANCOMER"
"A07191572",382774,"2019-07-17T05:00:00.000Z",71587407,"5062 HERMOSILLO SOLARIDAD","CUAD-AVAYA","BBVA BANCOMER"
"A07191571",382774,"2019-07-17T05:00:00.000Z",71436354,"4762 CONSTITUYENTES PLAYA DEL CARMEN","CUAD-AVAYA","BBVA BANCOMER"
"A07191569",382774,"2019-07-17T05:00:00.000Z",71436354,"4762 CONSTITUYENTES PLAYA DEL CARMEN","CUAD-AVAYA","BBVA BANCOMER"
"A07191565",382774,"2019-07-17T05:00:00.000Z",71330016,"2372 HIPOTECARIA PLAYA DEL CARMEN","CUAD-AVAYA","BBVA BANCOMER"
"A07191562",382774,"2019-07-17T05:00:00.000Z",70115179,"4317 TORREON CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A07191560",382774,"2019-07-17T05:00:00.000Z",70115130,"3463 AZCAPOTZALCO","CUAD-AVAYA","BBVA BANCOMER"
"A07191518",382599,"2019-07-17T05:00:00.000Z",70115019,"1281 INSURGENTES CR","CUAD-AVAYA","BBVA BANCOMER"
"A07191336",382371,"2019-07-15T05:00:00.000Z",71824915,"1659 PROLEC GE","CUAD-AVAYA","BBVA BANCOMER"
"A07191209",381907,"2019-07-10T05:00:00.000Z",71414601,"6346 PATRIMONIAL COLIMA","CUAD-AVAYA","BBVA BANCOMER"
"A07191086",381612,"2019-07-08T05:00:00.000Z",70122076,"3915 CUERNAVACA PLAN DE AYALA","CUAD-AVAYA","BBVA BANCOMER"
"A07190862",378581,"2019-06-12T05:00:00.000Z",71348456,"1197 EDIFICIO EQUUS","CUAD-AVAYA","BBVA BANCOMER"
"A07190871",378581,"2019-06-12T05:00:00.000Z",70122129,"474 LEON BOULEVARD","CUAD-AVAYA","BBVA BANCOMER"
"A07190827",378581,"2019-06-12T05:00:00.000Z",70115752,"603 TIJUANA PLAZA FINANCIERA","CUAD-AVAYA","BBVA BANCOMER"
"A07190825",378581,"2019-06-12T05:00:00.000Z",70118534,"3738 PUEBLA 5 DE MAYO","CUAD-AVAYA","BBVA BANCOMER"
"A06190448",378149,"2019-06-10T05:00:00.000Z",70122108,"5764 CANCUN OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190438",378149,"2019-06-10T05:00:00.000Z",70122102,"5313 LA PAZ OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190439",378149,"2019-06-10T05:00:00.000Z",70122104,"550 COATZACOALCOS JUAREZ","CUAD-AVAYA","BBVA BANCOMER"
"A06190441",378149,"2019-06-10T05:00:00.000Z",70122102,"5313 LA PAZ OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190445",378149,"2019-06-10T05:00:00.000Z",70122098,"913 TEPIC CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A06190442",378149,"2019-06-10T05:00:00.000Z",70122083,"701 BBVA BANCOMER MATAMOROS","CUAD-AVAYA","BBVA BANCOMER"
"A06190436",378149,"2019-06-10T05:00:00.000Z",70122079,"641 CD OBREGON OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190434",378149,"2019-06-10T05:00:00.000Z",70122075,"517 VERACRUZ INDEPENDENCIA","CUAD-AVAYA","BBVA BANCOMER"
"A06190431",378149,"2019-06-10T05:00:00.000Z",70122072,"5870 TAMPICO HIDALGO","CUAD-AVAYA","BBVA BANCOMER"
"A06190428",378149,"2019-06-10T05:00:00.000Z",70115427,"6700 TUXTLA OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190427",378149,"2019-06-10T05:00:00.000Z",70115544,"6549 TOLUCA OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A06190206",377225,"2019-06-05T05:00:00.000Z",71372564,"6357 PATRIMONIAL SAN JOSE INSURGENTES","CUAD-AVAYA","BBVA BANCOMER"
"A06190112",376944,"2019-06-03T05:00:00.000Z",70115719,"5607 TEPEJI DEL RIO OCAMPO","CUAD-AVAYA","BBVA BANCOMER"
"A06190111",376930,"2019-06-03T05:00:00.000Z",71273521,"5184 OUTLET PUEBLA","CUAD-AVAYA","BBVA BANCOMER"
"A06190110",376930,"2019-06-03T05:00:00.000Z",71428717,"5022 ARCOS","CUAD-AVAYA","BBVA BANCOMER"
"A06190071",376871,"2019-06-03T05:00:00.000Z",71820258,"1486 GALERIAS VALLARTA","CUAD-AVAYA","BBVA BANCOMER"
"A06190043",376825,"2019-06-03T05:00:00.000Z",71776518,"SITE 81 GRAN PATIO ECATEPEC","CUAD-AVAYA","BBVA BANCOMER"
"A06190016",376743,"2019-06-03T05:00:00.000Z",71298352,"5623 MORELIA JUAREZ","CUAD-AVAYA","BBVA BANCOMER"
"A06190018",376743,"2019-06-03T05:00:00.000Z",71301392,"5454A PLAZA PENINSULA","CUAD-AVAYA","BBVA BANCOMER"
"A06190009",376743,"2019-06-03T05:00:00.000Z",70115276,"5642 ZINAPECUARO JAVIER MINA","CUAD-AVAYA","BBVA BANCOMER"
"A06190010",376743,"2019-06-03T05:00:00.000Z",70115437,"5971 MONTE ESCOBEDO CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A06190007",376743,"2019-06-03T05:00:00.000Z",70115276,"5642 ZINAPECUARO JAVIER MINA","CUAD-AVAYA","BBVA BANCOMER"
"A05193368",376484,"2019-05-31T05:00:00.000Z",70197365,"4134 SATELITE REGIONAL","CUAD-AVAYA","BBVA BANCOMER"
"A05193364",376484,"2019-05-31T05:00:00.000Z",70196095,"5590 PACHUCA METZTITLAN","CUAD-AVAYA","BBVA BANCOMER"
"A05193354",376484,"2019-05-31T05:00:00.000Z",70114912,"1231 JACONA PLANCARTE","CUAD-AVAYA","BBVA BANCOMER"
"A05193355",376484,"2019-05-31T05:00:00.000Z",70114852,"3635 PEMEX","CUAD-AVAYA","BBVA BANCOMER"
"A05193375",376469,"2019-05-31T05:00:00.000Z",70115567,"A00 6571 TEXCALTITLAN","CUAD-AVAYA","BBVA BANCOMER"
"A05193370",376469,"2019-05-31T05:00:00.000Z",70115547,"6801 CD MADERA","CUAD-AVAYA","BBVA BANCOMER"
"A05193369",376469,"2019-05-31T05:00:00.000Z",70115491,"6741 ZACAPU MADERO","CUAD-AVAYA","BBVA BANCOMER"
"A05193362",376469,"2019-05-31T05:00:00.000Z",70115486,"6734 LOS REYES 16 DE SEPTIEMBRE","CUAD-AVAYA","BBVA BANCOMER"
"A05193356",376469,"2019-05-31T05:00:00.000Z",70115347,"6629 ASCENSION","CUAD-AVAYA","BBVA BANCOMER"
"A05193407",376459,"2019-05-31T05:00:00.000Z",71622587,"6529 CD VALLES HIDALGO","CUAD-AVAYA","BBVA BANCOMER"
"A05193386",376459,"2019-05-31T05:00:00.000Z",70115464,"5438 SANTIAGO PAPASQUIARO","CUAD-AVAYA","BBVA BANCOMER"
"A05193403",376459,"2019-05-31T05:00:00.000Z",70119988,"5641 TLAPUJAHUA","CUAD-AVAYA","BBVA BANCOMER"
"A05193405",376459,"2019-05-31T05:00:00.000Z",70115474,"5454 PUERTO VALLARTA PLAZA CARACOL","CUAD-AVAYA","BBVA BANCOMER"
"A05193381",376459,"2019-05-31T05:00:00.000Z",70115325,"5687 CIUDAD IXTEPEC CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05193383",376459,"2019-05-31T05:00:00.000Z",70115348,"5880 ESTACION MANUEL","CUAD-AVAYA","BBVA BANCOMER"
"A05193426",376431,"2019-05-31T05:00:00.000Z",71468731,"5242 BOSQUES DEL VALLE","CUAD-AVAYA","BBVA BANCOMER"
"A05193419",376431,"2019-05-31T05:00:00.000Z",71337457,"5346 PLAZA ACOXPA","CUAD-AVAYA","BBVA BANCOMER"
"A05193422",376431,"2019-05-31T05:00:00.000Z",71450732,"4788 EMILIANO ZAPATA","CUAD-AVAYA","BBVA BANCOMER"
"A05193387",376431,"2019-05-31T05:00:00.000Z",71249271,"5138 PLAZA ANTARA","CUAD-AVAYA","BBVA BANCOMER"
"A05193392",376431,"2019-05-31T05:00:00.000Z",71252627,"5125 PLAZA SENDERO TOLUCA","CUAD-AVAYA","BBVA BANCOMER"
"A05193408",376431,"2019-05-31T05:00:00.000Z",71283486,"5282 PLAZA TEZONTLE","CUAD-AVAYA","BBVA BANCOMER"
"A05193431",376415,"2019-05-31T05:00:00.000Z",71588564,"4435 PALIZADA CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05193423",376415,"2019-05-31T05:00:00.000Z",71285594,"4612 MERIDA MACROPLAZA","CUAD-AVAYA","BBVA BANCOMER"
"A05193428",376415,"2019-05-31T05:00:00.000Z",71354032,"4667 PLANTA VW PONIENTE","CUAD-AVAYA","BBVA BANCOMER"
"A05193418",376415,"2019-05-31T05:00:00.000Z",71285166,"4614 AEROPUERTO INTERNACIONAL 2","CUAD-AVAYA","BBVA BANCOMER"
"A05193401",376415,"2019-05-31T05:00:00.000Z",70115232,"4477 EL NARANJO","CUAD-AVAYA","BBVA BANCOMER"
"A05193391",376415,"2019-05-31T05:00:00.000Z",70115061,"3966 NOCHISTLAN CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05193331",376351,"2019-05-31T05:00:00.000Z",71409135,"3553 LA CRUZ NUEVO","CUAD-AVAYA","BBVA BANCOMER"
"A05193335",376351,"2019-05-31T05:00:00.000Z",71401855,"3634 SEGUROS MONTERREY TORRE NEW YORK LIFE","CUAD-AVAYA","BBVA BANCOMER"
"A05193334",376351,"2019-05-31T05:00:00.000Z",71295583,"3850 NUEVO LAREDO JARDIN","CUAD-AVAYA","BBVA BANCOMER"
"A05193326",376351,"2019-05-31T05:00:00.000Z",70181955,"3820 SAN NICOLAS GAMESA","CUAD-AVAYA","BBVA BANCOMER"
"A05193327",376351,"2019-05-31T05:00:00.000Z",70115000,"3879 PLAZA ARBOLEDAS","CUAD-AVAYA","BBVA BANCOMER"
"A05193329",376351,"2019-05-31T05:00:00.000Z",70114681,"3557 ANZURES","CUAD-AVAYA","BBVA BANCOMER"
"A05193316",376349,"2019-05-30T05:00:00.000Z",70115140,"3475 PARQUE IND NAUCAL","CUAD-AVAYA","BBVA BANCOMER"
"A05193322",376349,"2019-05-30T05:00:00.000Z",71559918,"2391 HIPOTECARIA HERMOSILLO","CUAD-AVAYA","BBVA BANCOMER"
"A05193319",376349,"2019-05-30T05:00:00.000Z",70114958,"1247 CHURINTZIO","CUAD-AVAYA","BBVA BANCOMER"
"A05193321",376349,"2019-05-30T05:00:00.000Z",70114561,"3509 ECATEPEC CERRO GORDO","CUAD-AVAYA","BBVA BANCOMER"
"A05193314",376348,"2019-05-30T05:00:00.000Z",70118882,"1011 ZAPOPAN LA GRAN PLAZA","CUAD-AVAYA","BBVA BANCOMER"
"A05193310",376348,"2019-05-30T05:00:00.000Z",70114884,"1223 CHILCHOTA","CUAD-AVAYA","BBVA BANCOMER"
"A05193312",376348,"2019-05-30T05:00:00.000Z",70114934,"1239 YURECUARO GUERRERO","CUAD-AVAYA","BBVA BANCOMER"
"A05193308",376348,"2019-05-30T05:00:00.000Z",70114763,"705 PLAZA FIESTA","CUAD-AVAYA","BBVA BANCOMER"
"A05193304",376347,"2019-05-30T05:00:00.000Z",71575884,"372 CD JUAREZ PLAZA PASEO","CUAD-AVAYA","BBVA BANCOMER"
"A05193307",376347,"2019-05-30T05:00:00.000Z",70114597,"627 PLAZA ZAPOTLAN","CUAD-AVAYA","BBVA BANCOMER"
"A05193303",376347,"2019-05-30T05:00:00.000Z",70114711,"671 CABORCA OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A05193300",376347,"2019-05-30T05:00:00.000Z",70114169,"27 TACUBA","CUAD-AVAYA","BBVA BANCOMER"
"A05193295",376325,"2019-05-30T05:00:00.000Z",70122021,"6522 OZULUAMA","CUAD-AVAYA","BBVA BANCOMER"
"A05193297",376325,"2019-05-30T05:00:00.000Z",70221709,"5871 MOD ADUANAL ALTAMIRA TAMPS","CUAD-AVAYA","BBVA BANCOMER"
"A05193299",376325,"2019-05-30T05:00:00.000Z",71294035,"6365  PATRIMONIAL IRAPUATO","CUAD-AVAYA","BBVA BANCOMER"
"A05193296",376325,"2019-05-30T05:00:00.000Z",70197775,"5324 SEIBAPLAYA","CUAD-AVAYA","BBVA BANCOMER"
"A05193292",376325,"2019-05-30T05:00:00.000Z",70115310,"5856 CD PEMEX CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05193293",376325,"2019-05-30T05:00:00.000Z",70115643,"5813 MODULO FORD","CUAD-AVAYA","BBVA BANCOMER"
"A05193294",376325,"2019-05-30T05:00:00.000Z",70115466,"6718 VENUSTIANO CARRANZA CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05193273",376301,"2019-05-30T05:00:00.000Z",70114943,"1243 TANHUATO","CUAD-AVAYA","BBVA BANCOMER"
"A05193277",376301,"2019-05-30T05:00:00.000Z",70115029,"3908 EL SALTO IBM","CUAD-AVAYA","BBVA BANCOMER"
"A05193276",376301,"2019-05-30T05:00:00.000Z",71236253,"3797 APODACA MODULO ADUANA ATO","CUAD-AVAYA","BBVA BANCOMER"
"A05193278",376301,"2019-05-30T05:00:00.000Z",71576846,"3685 TULTITLAN","CUAD-AVAYA","BBVA BANCOMER"
"A05193275",376301,"2019-05-30T05:00:00.000Z",70114539,"488 ENCARNACION DE DIAZ","CUAD-AVAYA","BBVA BANCOMER"
"A05193274",376301,"2019-05-30T05:00:00.000Z",70114566,"3516 ECATEPEC PLAZA ARAGON","CUAD-AVAYA","BBVA BANCOMER"
"A05193272",376301,"2019-05-30T05:00:00.000Z",70114620,"3535  ADUANA AEROPUERTO","CUAD-AVAYA","BBVA BANCOMER"
"A05193245",376164,"2019-05-30T05:00:00.000Z",71622914,"1248 VALLE DE JUAREZ","CUAD-AVAYA","BBVA BANCOMER"
"A05192912",375137,"2019-05-28T05:00:00.000Z",71797840,"2057 DIRECCIÓN HIPOTECARIA PROMOTOR OCCIDENTE","CUAD-AVAYA","BBVA BANCOMER"
"A05192806",375068,"2019-05-27T05:00:00.000Z",71712906,"288 SAN NICOLAS JARDINES DE ANAHUAC","CUAD-AVAYA","BBVA BANCOMER"
"A05192682",374657,"2019-05-23T05:00:00.000Z",70197365,"4134 SATELITE REGIONAL","CUAD-AVAYA","BBVA BANCOMER"
"A05192547",374222,"2019-05-22T05:00:00.000Z",71578495,"715 BEYG OAXACA","CUAD-AVAYA","BBVA BANCOMER"
"A05192332",373743,"2019-05-17T05:00:00.000Z",71577911,"949 PUERTO INTERIOR SILAO","CUAD-AVAYA","BBVA BANCOMER"
"A05192338",373743,"2019-05-17T05:00:00.000Z",71590670,"1108 SAMS BLVD MORELOS","CUAD-AVAYA","BBVA BANCOMER"
"A05192322",373743,"2019-05-17T05:00:00.000Z",71380149,"2489 CENTRO HIPOTECARIO Y CER HN TIJUANA","CUAD-AVAYA","BBVA BANCOMER"
"A05192330",373743,"2019-05-17T05:00:00.000Z",70115022,"1288 CENTRAL DE ABASTOS I","CUAD-AVAYA","BBVA BANCOMER"
"A05192314",373743,"2019-05-17T05:00:00.000Z",70114514,"456 CAPILLA DE GUADALUPE HIDALGO","CUAD-AVAYA","BBVA BANCOMER"
"A05192320",373743,"2019-05-17T05:00:00.000Z",70114916,"1232 TANGANCICUARO","CUAD-AVAYA","BBVA BANCOMER"
"A05192337",373742,"2019-05-17T05:00:00.000Z",71639004,"6827 ZACAPOAXTLA","CUAD-AVAYA","BBVA BANCOMER"
"A05192340",373742,"2019-05-17T05:00:00.000Z",71623701,"1164 CD VALLE GLORIETA","CUAD-AVAYA","BBVA BANCOMER"
"A05192329",373742,"2019-05-17T05:00:00.000Z",71622918,"837 CORPORATIVO METRO NORTE","CUAD-AVAYA","BBVA BANCOMER"
"A05192328",373742,"2019-05-17T05:00:00.000Z",71234071,"5064 GALERIAS CUMBRES","CUAD-AVAYA","BBVA BANCOMER"
"A05192324",373742,"2019-05-17T05:00:00.000Z",71251329,"5111 HEROES DE TECAMAC","CUAD-AVAYA","BBVA BANCOMER"
"A05192321",373742,"2019-05-17T05:00:00.000Z",70122026,"5301 SUCHIATE II","CUAD-AVAYA","BBVA BANCOMER"
"A05192319",373740,"2019-05-17T05:00:00.000Z",70122134,"4106 OFICINA CENTRO","CUAD-AVAYA","BBVA BANCOMER"
"A05192189",373417,"2019-05-15T05:00:00.000Z",71442945,"6355 PATRIMONIAL XALAPA","CUAD-AVAYA","BBVA BANCOMER"
"A05192168",373417,"2019-05-15T05:00:00.000Z",71414597,"6358 PATRIMONIAL INTERLOMAS","CUAD-AVAYA","BBVA BANCOMER"
"A05192182",373417,"2019-05-15T05:00:00.000Z",71397789,"6383 PATRIMONIAL CUERNVACA","CUAD-AVAYA","BBVA BANCOMER"
"A05192163",373417,"2019-05-15T05:00:00.000Z",71294035,"6365  PATRIMONIAL IRAPUATO","CUAD-AVAYA","BBVA BANCOMER"
"A05192167",373417,"2019-05-15T05:00:00.000Z",71294035,"6365  PATRIMONIAL IRAPUATO","CUAD-AVAYA","BBVA BANCOMER"
"A05192091",373328,"2019-05-14T05:00:00.000Z",71813442,"PARQUE INDUSTRIAL VILLAFLORIDA","CUAD-AVAYA","BBVA BANCOMER"
"A05192088",373328,"2019-05-14T05:00:00.000Z",71813440,"PARQUE INDUSTRIAL SANTA MARÍA ARIZPE","CUAD-AVAYA","BBVA BANCOMER"
"A05192090",373328,"2019-05-14T05:00:00.000Z",71813441,"PARQUE INDUSTRIAL LOGÍSTICO AUTOMOTRIZ (PILA)","CUAD-AVAYA","BBVA BANCOMER"
"A05192085",373328,"2019-05-14T05:00:00.000Z",71813439,"PARQUE INDUSTRIAL  SIGLO XXI","CUAD-AVAYA","BBVA BANCOMER"
"A05192084",373328,"2019-05-14T05:00:00.000Z",71813438,"PARQUE INDUSTRIAL EL FLORIDO","CUAD-AVAYA","BBVA BANCOMER"
"A05192083",373291,"2019-05-14T05:00:00.000Z",71444791,"6353 PATRIMONIAL COATZACOALCOS","CUAD-AVAYA","BBVA BANCOMER"
"A05192078",373291,"2019-05-14T05:00:00.000Z",71414599,"6348 PATRIMONIAL DURANGO","CUAD-AVAYA","BBVA BANCOMER"
"A05192081",373291,"2019-05-14T05:00:00.000Z",71414614,"6354 PATRIMONIAL REYNOSA","CUAD-AVAYA","BBVA BANCOMER"
"A05192073",373291,"2019-05-14T05:00:00.000Z",71348840,"6350 PATRIMONIAL TUXTLA GUTIERREZ","CUAD-AVAYA","BBVA BANCOMER"
"A05192075",373291,"2019-05-14T05:00:00.000Z",71369210,"6349 PATRIMONIAL OAXACA","CUAD-AVAYA","BBVA BANCOMER"
"A05192036",373253,"2019-05-14T05:00:00.000Z",70116340,"763 SITE DE AUTO SERVICIO SAN BARTOLO","CUAD-AVAYA","BBVA BANCOMER"
"A05191285",372538,"2019-05-08T05:00:00.000Z",71781527,"SITE 1460 MÉRIDA ALTABRISA","CUAD-AVAYA","BBVA BANCOMER"
"A04196580",370722,"2019-04-23T05:00:00.000Z",71414597,"6358 PATRIMONIAL INTERLOMAS","CUAD-AVAYA","BBVA BANCOMER"
"A04196559",370679,"2019-04-23T05:00:00.000Z",70197365,"4134 SATELITE REGIONAL","CUAD-AVAYA","BBVA BANCOMER"
"A04196572",370675,"2019-04-23T05:00:00.000Z",71419644,"1835 EMPRESAS QUERETARO ALAMOS","CUAD-AVAYA","BBVA BANCOMER"
"A04196574",370675,"2019-04-23T05:00:00.000Z",71305264,"833 EMPRESARIAL CD JUAREZ RENACIMIENTO","CUAD-AVAYA","BBVA BANCOMER"
"A04196575",370675,"2019-04-23T05:00:00.000Z",70114494,"432 LEON ESTADIO","CUAD-AVAYA","BBVA BANCOMER"
"A04196573",370675,"2019-04-23T05:00:00.000Z",70114502,"441 SABALO MAZATLAN","CUAD-AVAYA","BBVA BANCOMER"
"A04196577",370675,"2019-04-23T05:00:00.000Z",70114225,"100 TLALNEPANTLA PUENTE DE VIGAS","CUAD-AVAYA","BBVA BANCOMER"
"A04196576",370675,"2019-04-23T05:00:00.000Z",70114217,"83 GUTEMBERG","CUAD-AVAYA","BBVA BANCOMER"
"A04196571",370675,"2019-04-23T05:00:00.000Z",70114475,"411 MORELIA C FIN LAS AMERICAS","CUAD-AVAYA","BBVA BANCOMER"
"A04196332",370511,"2019-04-22T05:00:00.000Z",71804296,"1466 ISLA MERIDA","CUAD-AVAYA","BBVA BANCOMER"
"A04196333",370511,"2019-04-22T05:00:00.000Z",71799748,"1617 CER TUXTLA","CUAD-AVAYA","BBVA BANCOMER"
"A04196322",370493,"2019-04-22T05:00:00.000Z",71305855,"1821 BANCA DE EMPRESAS PALMAS","CUAD-AVAYA","BBVA BANCOMER"
"A04196309",370449,"2019-04-22T05:00:00.000Z",70197365,"4134 SATELITE REGIONAL","CUAD-AVAYA","BBVA BANCOMER"
"A04196315",370449,"2019-04-22T05:00:00.000Z",71414597,"6358 PATRIMONIAL INTERLOMAS","CUAD-AVAYA","BBVA BANCOMER"
"A04196305",370449,"2019-04-22T05:00:00.000Z",70115019,"1281 INSURGENTES CR","CUAD-AVAYA","BBVA BANCOMER"
"A04196306",370449,"2019-04-22T05:00:00.000Z",70114771,"3745 VALSEQUILLO CRYSTAL","CUAD-AVAYA","BBVA BANCOMER"
"A04196048",370333,"2019-04-17T05:00:00.000Z",71780256,"3088 PYME VILLAHERMOSA","CUAD-AVAYA","BBVA BANCOMER"
"A04196019",370333,"2019-04-17T05:00:00.000Z",71583966,"1838 EMPRESAS MONTERREY APODACA","CUAD-AVAYA","BBVA BANCOMER"
"A04196020",370333,"2019-04-17T05:00:00.000Z",71419637,"827 EMPRESAS AVILA CAMACHO","CUAD-AVAYA","BBVA BANCOMER"
"A04196021",370333,"2019-04-17T05:00:00.000Z",71333207,"2310 HN COACALCO","CUAD-AVAYA","BBVA BANCOMER"
"A04196022",370333,"2019-04-17T05:00:00.000Z",70115157,"3480 NAUCALPAN AVILA CAMACHO","CUAD-AVAYA","BBVA BANCOMER"
