"status","cliente","servicio","tags","phase"
"Activo","EMBOTELLADORA LAS MARGARITAS S A P I DE CV","CUAD-BROADSOFT",,"Planeación"
"Activo","SEGUROS BANORTE, S.A. DE C.V. GRUPO FINANCIERO BANORTE","CUAD-CISCO",,"Nuevo"
"Activo","ASESORIA PROFESIONAL AL AUTOTRANSPORTE S.A. DE C.V.","CUAD-BROADSOFT",,"Planeación"
"Activo","COOPERATIVA LA CRUZ AZUL S.C.L.","CUAD-CISCO","[""copcca""]","Nuevo-Planeación-Implementación"
"Activo","EUROELECTRICA, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Activo","GOBIERNO DEL ESTADO DE TABASCO","CUAD-CISCO","[""getep""]","Operativo"
"Activo","DENTIX MEXICO HEATLH S.C.","CUAD-BROADSOFT",,"Planeación-Implementación-Operativo"
"Activo","INSTITUTO ELECTORAL DEL ESTADO DE  GUANAJUATO","CUAD-BROADSOFT","[""ieeg""]","Planeación-Implementación-Operativo-Desconocido"
"Activo","PROGRAMA EDUCACION INICIAL","CUAD-BROADSOFT","[""fundacion_carlos_slim""]","Operativo"
"Activo","DIAGEO MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Operativo"
"Activo","CAMARA DE DIPUTADOS DEL H. CONGRESO DE LA UNION","CUAD-CISCO",,"Implementación-Desconocido"
"Activo","LAND IT S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Planeación-Implementación-Operativo-Desconocido"
"Activo","GAS SUPREMO DE JUAREZ SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","CORPORACION EL ASTURIANO SA DE CV","CUAD-BROADSOFT",,"Planeación"
"Activo","ZURICH COMPAÑIA DE SEGUROS, S.A. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación-Implementación-Operativo"
"Cancelado","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","CUAD-BROADSOFT",,"Desconocido"
"Activo","SERVI-GAS DEL NORTE SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","LALA ADMINISTRACION Y CONTROL, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Planeación-Operativo-Desconocido"
"Cancelado","ICA FLUOR DANIEL","CUAD-BROADSOFT",,"Desconocido"
"Activo","LALA ADMINISTRACION Y CONTROL, S.A. DE C.V.","CUAD-CISCO",,"Planeación-Implementación-Operativo-Desconocido"
"Activo","FONDO DE LA VIVIENDA PARA LOS TRABAJADORES DE LA EDUCACION AL SERVICIO DEL ESTAD","CUAD-BROADSOFT",,"Planeación-Implementación"
"Activo","SERVICIOS TURISTICOS LA MANSION SA DE CV","CUAD-BROADSOFT",,"Implementación"
"Activo","ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV","CUAD-BROADSOFT","[""landit""]","Nuevo-Operativo"
"Activo","SODEXO MEXICO, S.A DE C.V","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Activo","PROCONSA","CUAD-BROADSOFT",,"Planeación-Implementación-Operativo"
"Activo","ADMINISTRADORA DE PERSONAL DE CENTROS COMERCIALES, S.A. DE C.V.","CUAD-CISCO",,"Operativo"
"Activo","CARRIER ENTERPRISE MEXICO S DE RL DE CV","CUAD-BROADSOFT","[""cem""]","Planeación-Implementación-Operativo-Desconocido"
"Activo","KEY AUTOMOTIVE ACCESSORIES DE MEXICO","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Activo","ANDAMIOS Y PARARRAYOS, S.A. DE C.V.","CUAD-BROADSOFT","[""anpasa""]","Nuevo-Planeación-Desconocido"
"Activo","EURO ALARMAS SA DE CV","CUAD-BROADSOFT",,"Planeación-Desconocido"
"Activo","AMX CONTENIDO SA DE CV","CUAD-BROADSOFT",,"Nuevo-Planeación-Implementación-Desconocido"
"Activo","HOSPITAL CIVIL DE GUADALAJARA","CUAD-BROADSOFT",,"Operativo"
"Activo","GST SAFETY TEXTILES MEXICO, S DE RL DE CV","CUAD-BROADSOFT",,"Operativo"
