"status","cliente","servicio","tags","phase"
"Activo","PENSIONES BANORTE SA DE CV GRUPO FINANCIERO BANORTE","CUAD-CISCO",,"Nuevo"
"Activo","CARSO ELECTRIC, S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","SERVICIOS ONCOLOGICOS DEL NORESTE","CUAD-BROADSOFT",,"Nuevo"
"Activo","SANOH INDUSTRIAL DE MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","DIEHL CONTROLS MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","PASE, SERVICIOS ELECTRONICOS S.A DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","BANCO DEL BIENESTAR, SOCIEDAD NACIONAL DE CRÉDITO, INSTITUCIÓN DE BANCA DE DESAR","CUAD-CISCO",,"Nuevo"
"Activo","APOLO TEXTIL, S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","BANCO DEL BIENESTAR, SOCIEDAD NACIONAL DE CRÉDITO, INSTITUCIÓN DE BANCA DE DESAR","CUAD-AVAYA",,"Nuevo"
"Activo","LISTER LABORATORIO DE REFERENCIA, S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","NACIONAL MONTE DE PIEDAD, I.A.P.","CUAD-CISCO",,"Nuevo"
"Activo","INMOBILIARIA AMARA S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","CHIHUAHUA ELECTRICAL WIRING SYSTEMS, S. DE R.L. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","INVESTA BANK, S. A. INSTITUCION DE BANCA MULTIPLE","CUAD-AVAYA",,"Nuevo"
"Activo","SECRETARIA DE SEGURIDAD PUBLICA DEL ESTADO DE VERACRUZ","CUAD-AVAYA",,"Nuevo"
"Activo","SECRETARIA DE SEGURIDAD PUBLICA DEL ESTADO DE VERACRUZ","CUAD-BROADSOFT",,"Nuevo"
"Activo","CLARO","CUAD-BROADSOFT",,"Nuevo"
"Activo","CERRACO MEX S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","ROYAL MOTRIZ S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","PRODUCTOS AVICOLAS EL CALVARIO","CUAD-AVAYA",,"Nuevo"
"Activo","PRODUCTOS AVICOLAS EL CALVARIO","CUAD-BROADSOFT",,"Nuevo"
"Activo","ENERGIA LIMPIA DE AMISTAD","CUAD-CISCO",,"Nuevo"
"Activo","VILLANUEVA SOLAR SA DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","PARQUE SOLAR VILLANUEVA TRES SA DE CV","CUAD-CISCO",,"Nuevo"
"Activo","EGP MAGDALENA SOLAR S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","PARQUE SALITRILLOS SA DE CV","CUAD-CISCO",,"Nuevo"
"Activo","EOLICA ZOPILOAPAN S.A.P.I. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","PARQUE SOLAR DON JOSE SA DE CV","CUAD-CISCO",,"Nuevo"
"Activo","PARQUE AMISTAD III S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Activo","DOLORES WIND S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Cancelado","ENERGIAS RENOVABLES LA MATA SAPI DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","VILLANUEVA SOLAR SA DE CV","CUAD-CISCO",,"Nuevo"
"Activo","ELEMENTIA SERVICIOS ADMINISTRATIVOS S.A DE C.V","CUAD-BROADSOFT",,"Nuevo"
"Activo","MUNICIPIO DE SALINAS VICTORIA NUEVO LEON","CUAD-AVAYA",,"Nuevo"
"Activo","GOBIERNO DEL ESTADO DE PUEBLA.","CUAD-AVAYA",,"Nuevo"
"Activo","NACIONAL MONTE DE PIEDAD, I.A.P.","CUAD-AVAYA",,"Nuevo"
"Activo","GRUPO LOYGA SA DE CV","CUAD-AVAYA",,"Nuevo"
"Activo","CAJA INMACULADA SC DE AP DE RL DE CV","CUAD-BROADSOFT",,"Nuevo"
"Activo","HISENSE MEXICO, S. DE R.L. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","PASE, SERVICIOS ELECTRONICOS S.A DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Activo","MULTISERVICIOS NIETO S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo"
"Cancelado","ANUNCIOS EN DIRECTORIOS, S.A.DE C.V.","CUAD-AVAYA",,"Nuevo"
"Cancelado","AXALTA COATING SYSTEMS MEXICO S DE RL DE CV","CUAD-CISCO",,"Nuevo"
"Activo","CONCRETOS CRUZ AZUL, S.A. DE C.V.","CUAD-CISCO",,"Nuevo"
"Cancelado","ALQUILADORA DE VEHICULOS AUTOMOTORES","CUAD-AVAYA",,"Nuevo"
"Activo","SERVICIOS PARA TI S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","MAGNA ASSEMBLY SYSTEMS DE MEXICO SA DE CV","CUAD-CISCO",,"Nuevo"
"Activo","INSTITUTO TECNOLOGICO SUPERIOR DE FRESNILLO","CUAD-BROADSOFT",,"Nuevo"
"Activo","UNIVERSIDAD POLITECNICA DE TAPACHULA","CUAD-BROADSOFT",,"Nuevo"
