"folio","servicio"
"A08191502","CUAD-BSFT"
"A10191388","CUAD-BSFT"
"A10190440","CUAD-CISCO"
"A01200074","CUAD-BROADSOFT"
"A10130172","CUAD-CISCO"
"A07200924","CUAD-BROADSOFT"
"A03200128","CUAD-BROADSOFT"
"A08191517","CUAD-BROADSOFT"
"A07191542","CUAD-BBVA-CISCO"
"A10190441","CUAD-CISCO"
"A05191141","CUAD-BBVA-CISCO"
"A02200077","CUAD-AVAYA"
"A10191589","CUAD-BROADSOFT"
"A06190662","CUAD-BSFT"
"A08191792","CUAD-BROADSOFT"
"A01200892","CUAD-EDIFICIOS-AVAYA"
"A02201000","CUAD-CISCO"
"A08191508","CUAD-BSFT"
"A07180824","CUAD-BBVA-CISCO"
"A08180196","CUAD-BBVA-CISCO"
"A09120019","CUAD-BBVA-CISCO"
"A08191513","CUAD-BSFT"
"A08191505","CUAD-BSFT"
"A11190608","CUAD-CISCO"
"A08191512","CUAD-BSFT"
"A08191501","CUAD-BSFT"
"A02201038","CUAD-CISCO"
"A05191131","CUAD-BBVA-CISCO"
"A11190653","CUAD-CISCO"
"A01200074","CUAD-BSFT"
"A08191507","CUAD-BSFT"
"A11190553","CUAD-CISCO"
"A08191498","CUAD-BSFT"
"A08191505","CUAD-BROADSOFT"
"A10192285","CUAD-BSFT"
"A08191114","CUAD-EDIFICIOS-AVAYA"
"A08191500","CUAD-BSFT"
"A07191544","CUAD-BBVA-CISCO"
"A11190596","CUAD-CISCO"
"A10190972","CUAD-CISCO"
"A08191504","CUAD-BSFT"
"A05191133","CUAD-BBVA-CISCO"
"A07191540","CUAD-BBVA-CISCO"
"A02191562","CUAD-BBVA-CISCO"
"A11190576","CUAD-CISCO"
"A07191547","CUAD-BBVA-CISCO"
"A04190550","CUAD-BBVA-CISCO"
"A10191389","CUAD-BBVA-CISCO"
"A11190549","CUAD-CISCO"
"A09181000","CUAD-BBVA-CISCO"
"A08180218","CUAD-BBVA-CISCO"
"A01200829","CUAD-EDIFICIOS-AVAYA"
"A11190607","CUAD-CISCO"
