"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD1.901.1",,34353272,1,0.01,"UNR.CUAD1.901.1",34353273,36,,"A02191797","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD1.907.1",,34353507,6,0.01,"UNR.CUAD1.907.1",34353508,36,,"A02191797","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD1.911.1",,34353505,6,0.01,"UNR.CUAD1.911.1",34353506,36,,"A02191797","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.4",,34353276,6,0.01,"UNR.CUAD.904.1.4",34353504,36,,"A02191797","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.907.1",,34353274,6,0.01,"UNR.CUAD.907.1",34353275,36,,"A02191797","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34228623,25,0.01,"UNR.CUAD.904.1.1",34229555,36,,"A02190397","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34225723,50,0.01,"UNR.CUAD.904.1.1",34227578,36,,"A02190393","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.912.1",,34217196,25,0.01,"UNR.CUAD.912.1",34219626,36,,"A02190326","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.912.1",,34214558,25,0.01,"UNR.CUAD.912.1",34217020,36,,"A02190325","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.908.1",,34212759,50,0.01,"UNR.CUAD.908.1",34212760,36,,"A02190284","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.906.1.1",,34178112,300,0.01,"UNR.CUAD.906.1.1",34179016,36,,"A01191502","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.907.1",,33835648,300,0.01,"UNR.CUAD.907.1",33835649,36,,"A12180945","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL ALTTUS SAN LUIS POTOSI",,"UNC.CUAD.901.1",,33770100,1,0.01,"UNR.CUAD.901.1",33770114,36,,"A12180551","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL ALTTUS SAN LUIS POTOSI",,"UNC.CUAD1.907.1",,33770350,6,0.01,"UNR.CUAD1.907.1",33770351,36,,"A12180551","Implementación"
