"tecnología","cliente","sitio","siteName","fcs","status"
"CUAD-CISCO","BBVA BANCOMER",70114447,"377 CD ACUÑA","[""A09130171""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71284752,"5286 MERIDA ALTABRISA","[""V0000000654"",""A01181002"",""A03182311""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114541,"491 JALOSTOTITLAN","[""V0000000396""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114980,"1256 TECOMAN","[""A08190393"",""V0000000354""]","[""Activo""]"
"CUAD-CISCO","BBVA BANCOMER",70114452,"382 CUAUHTEMOC","[""A09130173""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114356,"281 GOMEZ PALACIO ROSAS","[""A08190399"",""V0000000360""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115344,"5877 CD MADERO","[""V0000000334"",""A03181265""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71279166,"5220 HERM PABELLON REFORMA","[""A02180516""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71433001,"1698 COCA COLA FEMSA","[""V0000000379""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115593,"5490 TOMATLAN CENTRO","[""V0000000590""]","[""Activo""]"
"CUAD-BROADSOFT","MODATELAS, S.A. DE C.V.",71467545,"MATAMOROSCOAHUILA","[""A11150106""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115136,"3473 CUAUHTEMOC","[""A12171873""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71241183,"2335 H NACIONAL PZA ZACATECAS  ZAC","[""A01201004"",""A08190588"",""V0000000400""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70122007,"4463 CD JUAREZ INSURGENTES","[""V0000000628""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114961,"1249 ACATLAN DE JUAREZ","[""V0000000351""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114360,"286 PLAZA IXTAPALUCA","[""V0000000361""]","[""Activo""]"
"CUAD-BROADSOFT","NUESTRA CAJA S.A. DE C.V.",71824401,"CUAD SALINA CRUZ","[""A08190929""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114515,"457 AYOTLAN CLEMENTE AGUIRRE","[""V0000000393""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71852172,"1893 BLVD JOSE MARIA MORELOS TAMAULIPAS","[""A09200310""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70122105,"544 TAPACHULA OFNA PRINCIPAL","[""A12200981"",""A06181682""]","[""Activo""]"
"CUAD-BROADSOFT","GRUPO CUAUHTEMOC MOCTEZUMA S.A. DE C.V.",71293680,"CCM OFV LEON","[""A09160258""]","[""Activo""]"
"CUAD-CISCO","CORPORATIVO BIMBO, S.A. DE C.V.",70109622,"GB_SCB_RPV","[""A10170913""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71524905,"902 PLAZA KABAH","[""A01180050""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71690907,"657 HERMOSILLO COLOSIO","[""A01180968""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71436968,"2329 HIPOTECARIA NACIONAL GUADALAJARA","[""V0000000403""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115065,"3427 IZTAPALAPA CENTRO","[""A08190402"",""V0000000404""]","[""Activo""]"
"CUAD-CISCO","BANCO DEL BIENESTAR, SOCIEDAD NACIONAL DE CRÉDITO, INSTITUCIÓN DE BANCA DE DESAR",71847882,"ESCOBEDO","[""A09200909""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70114397,"326 PATZCUARO ITURBE","[""V0000000366""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71855769,"1916 GALERIAS SANTA ANITA","[""A11200736""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70115616,"529 I DE MATAMOROS PLAZA","[""V0000000399""]","[""Activo""]"
